clade_name	CRC_MR_SBJ01C_17	CRC_MR_SBJ02C_17	CRC_MR_SBJ03H_17	CRC_MR_SBJ04C_17	CRC_MR_SBJ05C_17	CRC_MR_SBJ06C_17	CRC_MR_SBJ07C_17	CRC_MR_SBJ10C_17	CRC_MR_SBJ11C_17	CRC_MR_SBJ12C_17	CRC_MR_SBJ16H_17	CRC_MR_SBJ17H_17	CRC_MR_SBJ18H_17	CRC_MR_SBJ20C_17	CRC_MR_SBJ21H_17	CRC_MR_SBJ22C_17	CRC_MR_SBJ24H_17	CRC_MR_SBJ25C_17	CRC_MR_SBJ26C_17	CRC_MR_SBJ27C_17	CRC_MR_SBJ29C_17	CRC_MR_SBJ31C_17	CRC_MR_SBJ32C_17	CRC_MR_SBJ33C_17	CRC_MR_SBJ34H_17	CRC_MR_SBJ35C_17	CRC_MR_SBJ36C_17	CRC_MR_SBJ37H_17	CRC_MR_SBJ39C_17	CRC_MR_SBJ40C_17	CRC_MR_SBJ42C_17	CRC_MR_SBJ45H_17	CRC_MR_SBJ46H_17	CRC_MR_SBJ47C_17	CRC_MR_SBJ49C_17	CRC_MR_SBJ50C_17	CRC_MR_SBJ51C_17	CRC_MR_SBJ52C_17	CRC_MR_SBJ53C_17	CRC_MR_SBJ55C_17	CRC_MR_SBJ57H_17	CRC_MR_SBJ60H_17	CRC_MR_SBJ61C_17	CRC_MR_SBJ63H_17	CRC_MR_SBJ64C_17	CRC_MR_SBJ65H_17	CRC_MR_SBJ67H_17	CRC_MR_SBJ68H_17	CRC_MR_SBJ69H_17	CRC_MR_SBJ73H_17	CRC_MR_SBJ74H_17	CRC_MR_SBJ75H_17	CRC_MR_SBJ77H_17	CRC_MR_SBJ78H_17	CRC_MR_SBJ79H_17	CRC_MR_SBJ80H_17	CRC_MR_SBJ81H_17	CRC_MR_SBJ82H_17	CRC_MR_SBJ83H_17	CRC_MR_SBJ84H_17
k__Bacteria|p__Firmicutes|c__Negativicutes	0.96652	3.57475	3.605795801344029	0.00137	3.53073	2.02482	9.98544	1.19688	0.90897	0.39663	0.66575	0.00838	7.03282	3.34365	0.39394	1.51122	2.76588	0.88485	1.87968	6.55947	1.11125	12.42039	1.58152	2.04445	0.78411	2.90422	3.79138	2.56581	1.439941440487585	1.36515	1.81198	0.62824	3.97258	0.81717	5.8905	1.35586	4.09997	1.30162	0.59221	2.08657	0.86804	1.33932	0.23263	1.2086	1.32967	0.95202	2.54743	0.35912	1.17462	0.7901	1.31271	3.54653	0.6244704634913647	1.11274	1.07935	1.43002	3.04876	1.77667	1.32218	0.9542
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.68389	1.36157	1.3984449874316804	0.58089	0.38512	0.70082	0.37449	0.33654	0.13168	1.21373	0.62361	1.64755	0.02618	0.60094	0.14186	3.12818	2.44383	0.9907	1.07002	1.08035	0.87047	0.55258	0.62645	0.83946	0.12622	2.44987	0.27124	0.11141	0.4903198857377318	0.25746	1.57395	0.60722	0.26671	0.14571	1.55336	0.54195	0.45217	0.40626	0.27583	0.75548	0.38982	0.38634	1.01062	1.04572	0.12463	0.53892	1.61507	0.44806	1.69391	0.38827	0.12281	0.3712	1.1035965969620734	2.39897	1.97519	0.66209	0.55554	0.1359	0.22295	1.89808
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0.0	0.0	0.0	0.0	0.0	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37532	0.0	0.0	0.0	1.46924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.0	0.0	0.0	0.4377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0	0.0	0.0	0.5944	0.0	0.12918	0.15166	0.16698	0.0	0.07586	0.06494	0.0	1.16237	0.0	0.04363	0.00034	0.02685	0.2192	0.0	0.05063	0.0	0.04007	0.83858	0.0973	0.0	0.19054	0.0	0.0	0.0	0.2506	0.06556	0.0	0.0	0.14254	0.02194	0.0	0.15826	0.22212	0.17442	0.07952	0.03906	0.00019	0.0	0.0	0.08648	0.27062	0.12903	0.0	1.45919	0.0	0.00552	0.20953	0.6298621079429224	0.05776	0.02737	0.1353	0.0	0.0	0.01035	0.55843
k__Bacteria|p__Firmicutes|c__CFGB3035	0.0	0.07153	0.0	0.18993	0.0	0.09196	0.00102	0.04129	0.0	0.0	0.00065	0.0	0.0	0.12304	0.0169	0.30944	0.0	0.0	0.0	0.05939	0.0	0.0	0.0	0.15126	0.11172	0.38859	0.0	0.29489	1.1676993235508084	0.0	0.01278	0.0	0.0	0.12913	0.00448	0.40336	0.0057	0.13805	0.00672	0.88988	0.12995	0.0	0.0	0.0	0.0	0.00173	0.35609	0.22732	0.0	0.0	0.0	0.0	0.6027838490739675	0.21305	0.0	0.0	0.0	0.0	0.03145	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.01676	0.00971	0.0	0.37231	0.0	0.164	0.01149	0.06946	0.5663	0.03239	0.08717	0.00057	0.00718	0.0	0.02826	0.0	0.07991	0.08904	0.0	0.02671	0.1203	0.00964	0.02777	0.25236	0.07017	0.0	0.04874	0.35858	0.0	0.00092	0.00542	0.0	0.00601	0.01487	0.05399	0.02363	0.04441	0.0	0.04028	0.0	0.0	0.0005	0.0	0.0	0.0193	0.00907	0.0297	0.04933	0.0	0.04107	0.0	0.0	0.0	0.00267	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.30227	0.02333	0.5915297658958558	0.17794	0.62616	0.35477	0.33751	0.43488	0.50003	0.16909	0.08242	1.1722	0.44905	0.47258	0.03761	0.23762	0.16824	0.1864	0.49042	0.4413	0.17383	0.60343	0.23434	0.25951	0.0	0.0	0.05376	0.13471	0.0	0.25458	0.04667	0.1956	0.2874	0.29634	0.14939	0.01314	0.91274	0.18925	0.06283	0.33668	0.06769	0.16453	0.27174	0.13405	0.59799	0.1639	0.16312	0.03737	0.80397	0.0	0.30935	0.48436	0.7706850589429776	1.09745	0.28829	0.23403	0.40452	0.45201	0.27522	0.13106
k__Bacteria|p__Bacteroidetes|c__CFGB602	0.0	0.01011	0.0	0.67107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08184	0.0	0.0	0.07127	0.0	0.0	0.11312	0.0	0.0	0.06755	0.0	0.26032	0.39054	0.0	0.0	0.49848	0.0	0.0226	0.0059	0.0	0.0419	0.12653	0.0	0.0	0.07211	0.0	0.0	0.0	0.30824	0.0	0.03563	0.0	0.05699	0.0197	0.0	0.0	0.0	0.05119	0.09118	0.0	1.1100785739650592	0.20758	0.0	0.0	0.0	0.0	0.02703	1.36919
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.14926	0.68932	0.1578779791178539	0.07421	0.54926	0.06284	0.27194	0.44328	0.0	0.05623	0.25855	0.79679	0.20117	0.19851	0.05126	0.49791	0.06153	0.26054	0.13366	0.28938	0.22851	0.2499	0.37561	0.2256	0.10078	0.24407	0.0487	0.06575	0.3534336245671477	0.51086	0.26844	0.07097	0.03781	0.09867	0.26498	0.21782	1.37581	0.36943	0.16717	0.06285	0.21298	0.19548	0.91158	0.0	0.23799	0.149	0.26477	0.20908	0.31051	0.0004	0.08581	0.20834	0.0836255057792626	0.14894	0.89105	0.10575	0.46554	0.0	0.04205	0.31872
k__Bacteria|p__Firmicutes|c__CFGB2916	0.0	0.0	0.0	0.05116	0.0	0.0	0.01948	0.0	0.02725	0.00731	0.00404	0.0	0.0	0.00567	0.00192	0.0	0.0	0.0027	0.0	0.01825	0.01229	0.0	0.12666	0.0	0.00277	0.0	0.0	0.0	0.0	0.01131	0.07587	0.00832	0.0	0.00342	0.00053	0.01015	0.0	0.0	0.0	0.01753	0.02302	0.00919	0.0	0.03676	0.0007	0.0	0.00681	0.0	0.0	0.0	0.00451	0.0	0.006521989206708	0.0	0.09129	0.0	0.0	0.0	0.0	0.00238
