clade_name	GupDM_JP	GupDM_JG	GupDM_A4	GupDM_JM	GupDM_A13	GupDM_JK	GupDM_JI	GupDM_A7	GupDM_A2	GupDM_A_11	GupDM_JC	GupDM_JN	GupDM_JJ	GupDM_JO	GupDM_A1	GupDM_JE	GupDM_A12	GupDM_JL	GupDM_A14	GupDM_A8	GupDM_A3	GupDM_A10	GupDM_A5	GupDM_A_15	GupDM_JH	GupDM_JD	GupDM_A9	GupDM_A6	GupDM_JB	GupDM_JA	GupDM_HAK	GupDM_HAJ	GupDM_HAI	GupDM_HAH	GupDM_HAG	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HDF	GupDM_HDB	GupDM_HCY	GupDM_HCL	GupDM_HCU	GupDM_HCV	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HP	GupDM_HS	GupDM_HR	GupDM_HBR
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.53143	0.95288	0.12141	0.04186	0.0	0.02029	0.20061	0.0	0.11374	0.0	0.10806	0.03572	3.37431	0.19203	0.07684	0.02587	0.20919	0.14298	0.0	0.04144	0.31396	0.01713	0.29711	0.02051	0.0	2.02995	0.00496	0.01003	0.25636	0.12798	0.07002	0.04426	0.10483	0.01535	0.04858	0.1878	0.12426	0.0	0.46804	0.0	0.02149	0.03618	0.0	0.0	0.29269	0.27757	0.0	0.00227	0.0	0.03742	0.0	0.0	0.0	0.60104	0.00358	0.04741	0.14867	0.15047	0.07821	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0059	0.0021	0.0	0.0	0.0	0.002	0.0	0.0	1.59555	0.0	0.0	0.0	0.0	0.00769	0.0	0.0089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25928	0.0	0.0	0.0	0.0	0.01838	6.76762	0.0	0.00451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38938	0.3848	0.0	0.0	0.0	0.0	0.02282	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00592	0.0	0.0	0.0	0.0	0.00478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02708	0.0071	0.0	0.0	0.02418	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.89712	1.15102	0.04162	0.22447	4.55925	0.12844	1.09337	0.00178	0.0	0.06674	0.27922	0.18387	0.11742	1.17411	1.44313	0.11886	0.02973	0.01844	0.2803	0.30423	0.23632	3.71709	0.04394	0.32844	0.14222	0.15681	0.4399	0.09876	1.63008	0.01375	0.15214	0.45939	0.29992	0.55112	0.32539	0.32342	3.84695	1.288	0.44873	0.35643	0.19085	0.10074	0.55877	0.31085	0.25225	0.08835	0.01317	0.07228	2.46174	0.40214	0.15924	0.02356	0.07298	0.01126	0.08964	0.19859	0.49604	0.17413	0.0	0.33848
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.30687	0.18354	0.0494	0.13305	0.8621	0.32118	0.21566	0.04562	0.04752	0.23088	0.17688	0.08417	0.41857	0.1872	0.15611	0.4478	0.01018	0.03626	0.0	0.0	0.94388	0.01449	0.28947	0.0	0.0	0.37111	0.0	0.34685	0.05529	0.02104	0.01538	0.08953	0.0	0.0	0.0	0.0	0.17877	0.0	0.0	0.00376	0.0	0.0	0.10091	0.07022	0.03741	0.0	0.03745	0.37628	0.20476	0.09868	0.11596	0.0	0.15062	0.0	0.36581	0.99285	0.0	0.19068	0.0639	0.08117
k__Bacteria|p__Firmicutes|c__CFGB2916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333	0.01955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	0.64671	0.11271	0.0	0.0	0.0	0.96967	0.01312	0.0	0.11599	0.02443	0.0	0.0	0.06801	0.01714	0.0	1.66745	0.0	5.98108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03689	0.0	0.0	0.01251	6.37992	0.57745	0.0	0.0	1.13777	0.0	0.19671	0.74951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0223	0.0	0.0	0.00132	0.0	0.0	7.6269	0.01181	0.00393	0.0	0.49598	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB42691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0321	0.0	0.0	0.00648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00712	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.8636	3.2451	0.01107	0.89866	28.9889	0.4399	1.57241	13.00935	0.43784	8.0693	1.04263	0.94252	1.90609	1.31674	22.58313	0.27832	33.82135	0.08068	5.17735	53.32842	0.0	33.03533	0.7716	54.89678	0.76025	2.50392	3.77749	0.01489	0.54915	0.00627	0.35982	0.04459	0.02372	0.42099	0.35703	1.23953	3.00442	0.3676	1.23816	0.81791	0.04107	2.91412	0.24818	0.0355	7.56859	0.1276	9.50402	0.12735	0.28873	1.03777	0.52004	2.10268	1.54802	0.25498	0.09156	1.00908	0.22737	0.23066	0.45782	0.04631
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.02936	0.02058	0.1522	0.10716	2.02402	0.06548	0.08667	0.08146	0.14038	0.17639	0.09592	0.10552	0.02701	0.10217	0.66893	0.01967	0.0	0.0	0.14916	0.01375	0.0	2.01456	0.00061	0.02257	0.15762	0.04847	0.0	0.73532	0.09267	0.0	0.02369	0.0	0.01791	0.0	0.00193	0.0	0.01341	0.0	0.2151	0.0	0.0	0.0	0.13164	0.11633	0.32972	0.0	0.01763	0.13891	0.08974	0.04694	0.10467	0.0	0.06204	0.0268	0.13342	0.22888	0.0	0.00437	0.0078	0.09147
