Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate?,Sample Name,SRA Study,create_date,version
SRR6456153,WGS,300,5272012200,PRJNA429097,SAMN08335130,Metagenome or environmental,2116667085,"WHEALTHGENE CO., LTD.",2016-02-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546837,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02118,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 103,K0000069,SRP128485,2018-01-09T23:06:00Z,1
SRR6456154,WGS,300,6150231000,PRJNA429097,SAMN08335129,Metagenome or environmental,2446478695,"WHEALTHGENE CO., LTD.",2016-02-22,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546836,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02098,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 102,K0000068,SRP128485,2018-01-09T23:12:00Z,1
SRR6456155,WGS,300,6022215900,PRJNA429097,SAMN08335132,Metagenome or environmental,2404148872,"WHEALTHGENE CO., LTD.",2016-03-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546835,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02120,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 105,K0000071,SRP128485,2018-01-09T23:11:00Z,1
SRR6456156,WGS,300,6429305100,PRJNA429097,SAMN08335131,Metagenome or environmental,2553032658,"WHEALTHGENE CO., LTD.",2016-03-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546834,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02119,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 104,K0000070,SRP128485,2018-01-09T23:14:00Z,1
SRR6456157,WGS,300,7374154200,PRJNA429097,SAMN08335134,Metagenome or environmental,2917683089,"WHEALTHGENE CO., LTD.",2016-02-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546833,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02122,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 107,K0000073,SRP128485,2018-01-09T23:16:00Z,1
SRR6456158,WGS,300,6138809400,PRJNA429097,SAMN08335133,Metagenome or environmental,2437092951,"WHEALTHGENE CO., LTD.",2016-03-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546832,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02121,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 106,K0000072,SRP128485,2018-01-09T23:07:00Z,1
SRR6456159,WGS,300,5437633800,PRJNA429097,SAMN08335146,Metagenome or environmental,2177295223,"WHEALTHGENE CO., LTD.",2016-05-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546831,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02478,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 53,K0000086,SRP128485,2018-01-09T23:07:00Z,1
SRR6456160,WGS,300,6586432200,PRJNA429097,SAMN08335145,Metagenome or environmental,2660150150,"WHEALTHGENE CO., LTD.",2016-05-09,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546830,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02477,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 52,K0000085,SRP128485,2018-01-09T23:09:00Z,1
SRR6456161,WGS,300,6890212200,PRJNA429097,SAMN08335149,Metagenome or environmental,2600636150,"WHEALTHGENE CO., LTD.",2016-06-24,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546829,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02482,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 56,K0000090,SRP128485,2018-01-09T23:10:00Z,1
SRR6456162,WGS,300,4856679300,PRJNA429097,SAMN08335124,Metagenome or environmental,1935430132,"WHEALTHGENE CO., LTD.",2016-04-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546828,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02094,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 50,K0000063,SRP128485,2018-01-09T23:08:00Z,1
SRR6456163,WGS,300,6975097800,PRJNA429097,SAMN08335042,Metagenome or environmental,2682997210,"WHEALTHGENE CO., LTD.",2016-07-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546955,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02501,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 127,K0000111,SRP128485,2018-01-09T23:53:00Z,1
SRR6456164,WGS,300,6086335200,PRJNA429097,SAMN08335043,Metagenome or environmental,2289859784,"WHEALTHGENE CO., LTD.",2016-08-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546954,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02502,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 128,K0000112,SRP128485,2018-01-09T23:51:00Z,1
