Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR17605917,AMPLICON,602,35858130,PRJNA796956,SAMN24934277,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",19314168,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774763,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S78,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C37,SRP354914,not applicable
SRR17605918,AMPLICON,602,30950626,PRJNA796956,SAMN24934276,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",16905593,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774762,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S77,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C36,SRP354914,not applicable
SRR17605919,AMPLICON,602,24346084,PRJNA796956,SAMN24934275,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13161490,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774761,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S76,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C35,SRP354914,not applicable
SRR17605920,AMPLICON,602,44098306,PRJNA796956,SAMN24934274,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",24007724,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774760,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S75,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C34,SRP354914,not applicable
SRR17605921,AMPLICON,602,30899456,PRJNA796956,SAMN24934273,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",16475514,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774759,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S74,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C33,SRP354914,not applicable
SRR17605922,AMPLICON,602,33277356,PRJNA796956,SAMN24934272,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",17944615,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774758,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S73,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C32,SRP354914,not applicable
SRR17605923,AMPLICON,602,28386708,PRJNA796956,SAMN24934271,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15734740,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774757,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S72,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,c31,SRP354914,not applicable
SRR17605924,AMPLICON,602,38847662,PRJNA796956,SAMN24934270,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",21187621,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774756,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S71,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,c30,SRP354914,not applicable
SRR17605925,AMPLICON,602,29824886,PRJNA796956,SAMN24934207,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",16306640,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774755,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S8,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,18CXin,SRP354914,not applicable
SRR17605926,AMPLICON,602,28592592,PRJNA796956,SAMN24934269,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15492851,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774754,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S70,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,c3,SRP354914,not applicable
