Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR279242,AMPLICON,450,28616400,PRJDB11246,SAMD00284937,MIMS.me.human-gut,17330437,GIRC,missing,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,feces,DRX268825,Japan,Asia,Japan,Homo sapiens,Subject0011,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:30:00Z,1,SAMD00284937,Subject0011,DRP007554
DRR279243,AMPLICON,450,25915500,PRJDB11246,SAMD00284938,MIMS.me.human-gut,15687318,GIRC,missing,public,"sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268826,Japan,Asia,Japan,Homo sapiens,Subject0012,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:12:00Z,1,SAMD00284938,Subject0012,DRP007554
DRR279244,AMPLICON,450,31959450,PRJDB11246,SAMD00284939,MIMS.me.human-gut,21806734,GIRC,missing,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268827,Japan,Asia,Japan,Homo sapiens,Subject0013,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:24:00Z,1,SAMD00284939,Subject0013,DRP007554
DRR279245,AMPLICON,450,9076050,PRJDB11246,SAMD00284940,MIMS.me.human-gut,5119261,GIRC,missing,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268828,Japan,Asia,Japan,Homo sapiens,Subject0014,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:28:00Z,1,SAMD00284940,Subject0014,DRP007554
DRR279246,AMPLICON,450,46652850,PRJDB11246,SAMD00284941,MIMS.me.human-gut,31155000,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268829,Japan,Asia,Japan,Homo sapiens,Subject0015,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:29:00Z,1,SAMD00284941,Subject0015,DRP007554
DRR279247,AMPLICON,450,22755600,PRJDB11246,SAMD00284942,MIMS.me.human-gut,13272920,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268830,Japan,Asia,Japan,Homo sapiens,Subject0016,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:03:00Z,1,SAMD00284942,Subject0016,DRP007554
DRR279248,AMPLICON,450,23073750,PRJDB11246,SAMD00284943,MIMS.me.human-gut,13717662,GIRC,missing,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268831,Japan,Asia,Japan,Homo sapiens,Subject0017,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:18:00Z,1,SAMD00284943,Subject0017,DRP007554
DRR279249,AMPLICON,450,33628950,PRJDB11246,SAMD00284944,MIMS.me.human-gut,21850140,GIRC,missing,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,feces,DRX268832,Japan,Asia,Japan,Homo sapiens,Subject0018,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:08:00Z,1,SAMD00284944,Subject0018,DRP007554
DRR279250,AMPLICON,450,19983150,PRJDB11246,SAMD00284945,MIMS.me.human-gut,12024184,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,feces,DRX268833,Japan,Asia,Japan,Homo sapiens,Subject0019,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:20:00Z,1,SAMD00284945,Subject0019,DRP007554
DRR279251,AMPLICON,450,20162250,PRJDB11246,SAMD00284946,MIMS.me.human-gut,12555537,GIRC,missing,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268834,Japan,Asia,Japan,Homo sapiens,Subject0020,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:02:00Z,1,SAMD00284946,Subject0020,DRP007554
DRR279252,AMPLICON,450,32059350,PRJDB11246,SAMD00284947,MIMS.me.human-gut,21348912,GIRC,missing,public,"sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268835,Japan,Asia,Japan,Homo sapiens,Subject0021,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:19:00Z,1,SAMD00284947,Subject0021,DRP007554
DRR279253,AMPLICON,450,12106800,PRJDB11246,SAMD00284948,MIMS.me.human-gut,6710480,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,feces,DRX268836,Japan,Asia,Japan,Homo sapiens,Subject0022,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:18:00Z,1,SAMD00284948,Subject0022,DRP007554
DRR279254,AMPLICON,450,39193200,PRJDB11246,SAMD00284949,MIMS.me.human-gut,21583694,GIRC,missing,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268837,Japan,Asia,Japan,Homo sapiens,Subject0023,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:52:00Z,1,SAMD00284949,Subject0023,DRP007554
DRR279255,AMPLICON,450,19376100,PRJDB11246,SAMD00284950,MIMS.me.human-gut,12066034,GIRC,missing,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,feces,DRX268838,Japan,Asia,Japan,Homo sapiens,Subject0024,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:26:00Z,1,SAMD00284950,Subject0024,DRP007554
DRR279256,AMPLICON,450,39178800,PRJDB11246,SAMD00284951,MIMS.me.human-gut,23595534,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,feces,DRX268839,Japan,Asia,Japan,Homo sapiens,Subject0025,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:27:00Z,1,SAMD00284951,Subject0025,DRP007554
DRR279257,AMPLICON,450,21589200,PRJDB11246,SAMD00284952,MIMS.me.human-gut,14389035,GIRC,missing,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,feces,DRX268840,Japan,Asia,Japan,Homo sapiens,Subject0026,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:04:00Z,1,SAMD00284952,Subject0026,DRP007554
DRR279258,AMPLICON,450,23085450,PRJDB11246,SAMD00284953,MIMS.me.human-gut,13048378,GIRC,missing,public,"run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268841,Japan,Asia,Japan,Homo sapiens,Subject0027,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:28:00Z,1,SAMD00284953,Subject0027,DRP007554
DRR279259,AMPLICON,450,18691200,PRJDB11246,SAMD00284954,MIMS.me.human-gut,11098953,GIRC,missing,public,"sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268842,Japan,Asia,Japan,Homo sapiens,Subject0028,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:21:00Z,1,SAMD00284954,Subject0028,DRP007554
DRR279260,AMPLICON,450,28737900,PRJDB11246,SAMD00284955,MIMS.me.human-gut,17370243,GIRC,missing,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,feces,DRX268843,Japan,Asia,Japan,Homo sapiens,Subject0029,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:09:00Z,1,SAMD00284955,Subject0029,DRP007554
DRR279261,AMPLICON,450,38765700,PRJDB11246,SAMD00284956,MIMS.me.human-gut,25893693,GIRC,missing,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,feces,DRX268844,Japan,Asia,Japan,Homo sapiens,Subject0030,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:23:00Z,1,SAMD00284956,Subject0030,DRP007554
DRR279262,AMPLICON,450,23980050,PRJDB11246,SAMD00284957,MIMS.me.human-gut,14582337,GIRC,missing,public,"run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,feces,DRX268845,Japan,Asia,Japan,Homo sapiens,Subject0031,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:03:00Z,1,SAMD00284957,Subject0031,DRP007554
DRR279263,AMPLICON,450,31202100,PRJDB11246,SAMD00284958,MIMS.me.human-gut,20550018,GIRC,missing,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268846,Japan,Asia,Japan,Homo sapiens,Subject0032,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:51:00Z,1,SAMD00284958,Subject0032,DRP007554
DRR279264,AMPLICON,450,26459100,PRJDB11246,SAMD00284959,MIMS.me.human-gut,15998208,GIRC,missing,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,feces,DRX268847,Japan,Asia,Japan,Homo sapiens,Subject0033,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:13:00Z,1,SAMD00284959,Subject0033,DRP007554
DRR279265,AMPLICON,450,26463600,PRJDB11246,SAMD00284960,MIMS.me.human-gut,15964950,GIRC,missing,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268848,Japan,Asia,Japan,Homo sapiens,Subject0034,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:27:00Z,1,SAMD00284960,Subject0034,DRP007554
DRR279266,AMPLICON,450,38010600,PRJDB11246,SAMD00284961,MIMS.me.human-gut,24782194,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268849,Japan,Asia,Japan,Homo sapiens,Subject0035,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:04:00Z,1,SAMD00284961,Subject0035,DRP007554
DRR279267,AMPLICON,450,20452950,PRJDB11246,SAMD00284962,MIMS.me.human-gut,12125181,GIRC,missing,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,feces,DRX268850,Japan,Asia,Japan,Homo sapiens,Subject0036,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:53:00Z,1,SAMD00284962,Subject0036,DRP007554
DRR279268,AMPLICON,450,19274850,PRJDB11246,SAMD00284963,MIMS.me.human-gut,11688053,GIRC,missing,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,feces,DRX268851,Japan,Asia,Japan,Homo sapiens,Subject0037,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:51:00Z,1,SAMD00284963,Subject0037,DRP007554
DRR279269,AMPLICON,450,32812200,PRJDB11246,SAMD00284964,MIMS.me.human-gut,18282313,GIRC,missing,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,feces,DRX268852,Japan,Asia,Japan,Homo sapiens,Subject0038,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:53:00Z,1,SAMD00284964,Subject0038,DRP007554
DRR279270,AMPLICON,450,10192050,PRJDB11246,SAMD00284965,MIMS.me.human-gut,6301108,GIRC,missing,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,feces,DRX268853,Japan,Asia,Japan,Homo sapiens,Subject0039,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:21:00Z,1,SAMD00284965,Subject0039,DRP007554
DRR279271,AMPLICON,450,25384500,PRJDB11246,SAMD00284966,MIMS.me.human-gut,15206203,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268854,Japan,Asia,Japan,Homo sapiens,Subject0040,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:04:00Z,1,SAMD00284966,Subject0040,DRP007554
DRR279272,AMPLICON,450,47937150,PRJDB11246,SAMD00284967,MIMS.me.human-gut,31780557,GIRC,missing,public,"sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268855,Japan,Asia,Japan,Homo sapiens,Subject0041,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T16:02:00Z,1,SAMD00284967,Subject0041,DRP007554
DRR279273,AMPLICON,450,27960300,PRJDB11246,SAMD00284968,MIMS.me.human-gut,16626163,GIRC,missing,public,"run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268856,Japan,Asia,Japan,Homo sapiens,Subject0042,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:03:00Z,1,SAMD00284968,Subject0042,DRP007554
DRR279274,AMPLICON,450,12325050,PRJDB11246,SAMD00284969,MIMS.me.human-gut,7454623,GIRC,missing,public,"run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,feces,DRX268857,Japan,Asia,Japan,Homo sapiens,Subject0043,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:30:00Z,1,SAMD00284969,Subject0043,DRP007554
DRR279275,AMPLICON,450,22754700,PRJDB11246,SAMD00284970,MIMS.me.human-gut,13836039,GIRC,missing,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,feces,DRX268858,Japan,Asia,Japan,Homo sapiens,Subject0044,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:04:00Z,1,SAMD00284970,Subject0044,DRP007554
DRR279276,AMPLICON,450,22565250,PRJDB11246,SAMD00284971,MIMS.me.human-gut,13510542,GIRC,missing,public,"sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,feces,DRX268859,Japan,Asia,Japan,Homo sapiens,Subject0045,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:36:00Z,1,SAMD00284971,Subject0045,DRP007554
