Run,Assay Type,AvgSpotLen,Bases,BioProject,Biosample_accession (run),BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,No.,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR15324945,AMPLICON,271,18666879,PRJNA751260,SAMN20518971,SAMN20518970,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10600754,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-22,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629336,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN17,PAIRED,PCR,GENOMIC,85,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN17_1.fq,SRP330867
SRR15324946,AMPLICON,274,18650373,PRJNA751260,SAMN20518969,SAMN20518968,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11467075,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-22,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Qinghai,missing,missing,missing,SRX11629335,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN16,PAIRED,PCR,GENOMIC,83,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN16_1.fq,SRP330867
SRR15324950,AMPLICON,276,18844562,PRJNA751260,SAMN20518963,SAMN20518962,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10556214,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-16,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629331,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN13,PAIRED,PCR,GENOMIC,77,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN13_1.fq,SRP330867
SRR15324951,AMPLICON,278,18925190,PRJNA751260,SAMN20518961,SAMN20518960,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10511080,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-16,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Qinghai,missing,missing,missing,SRX11629330,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN12,PAIRED,PCR,GENOMIC,75,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN12_1.fq,SRP330867
SRR15324952,AMPLICON,273,18774046,PRJNA751260,SAMN20518959,SAMN20518958,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11307449,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-16,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Qinghai,missing,missing,missing,SRX11629329,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN11,PAIRED,PCR,GENOMIC,73,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN11_1.fq,SRP330867
SRR15324953,AMPLICON,276,18864612,PRJNA751260,SAMN20518957,SAMN20518956,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10460301,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-09,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Qinghai,missing,missing,missing,SRX11629328,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN10,PAIRED,PCR,GENOMIC,71,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN10_1.fq,SRP330867
SRR15324954,AMPLICON,272,18623085,PRJNA751260,SAMN20518955,SAMN20518954,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10446847,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-09,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Qinghai,missing,missing,missing,SRX11629327,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN9,PAIRED,PCR,GENOMIC,69,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN9_1.fq,SRP330867
SRR15324956,AMPLICON,278,18892850,PRJNA751260,SAMN20518951,SAMN20518950,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10446061,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-09,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Qinghai,missing,missing,missing,SRX11629325,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN7,PAIRED,PCR,GENOMIC,65,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN7_1.fq,SRP330867
SRR15324957,AMPLICON,273,18575637,PRJNA751260,SAMN20518949,SAMN20518948,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11170229,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-09,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Qinghai,missing,missing,missing,SRX11629324,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN6,PAIRED,PCR,GENOMIC,63,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:23:00Z,1,BN6_1.fq,SRP330867
SRR15324958,AMPLICON,272,18653604,PRJNA751260,SAMN20518947,SAMN20518946,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11116155,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-04,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Qinghai,missing,missing,missing,SRX11629323,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN5,PAIRED,PCR,GENOMIC,61,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN5_1.fq,SRP330867
