Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,reads_tax,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR15647921,WGS,199,6322435485,PRJNA758208,SAMN21015652,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2510358802,REALBIO,2017,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945015,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0628,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0628clean,2021-09-02T00:00:00Z,2021-08-27T08:13:00Z,1,LZ-0628,SRP334399
SRR15647922,WGS,199,4295826699,PRJNA758208,SAMN21015651,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1747135031,REALBIO,2017,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945014,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0591,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0591clean,2021-09-02T00:00:00Z,2021-08-27T08:12:00Z,1,LZ-0591,SRP334399
SRR15647923,WGS,199,4405223532,PRJNA758208,SAMN21015650,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1820086281,REALBIO,2017,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945013,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0550,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0550clean,2021-09-02T00:00:00Z,2021-08-27T08:21:00Z,1,LZ-0550,SRP334399
SRR15647924,WGS,199,6148524107,PRJNA758208,SAMN21015649,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2523792627,REALBIO,2017,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX11945012,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0520,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0520clean,2021-09-02T00:00:00Z,2021-08-27T08:16:00Z,1,LZ-0520,SRP334399
SRR15647925,WGS,199,6975554491,PRJNA758208,SAMN21015648,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2845707480,REALBIO,2017,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945011,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0498,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0498clean,2021-09-02T00:00:00Z,2021-08-27T08:16:00Z,1,LZ-0498,SRP334399
SRR15647926,WGS,199,9997757435,PRJNA758208,SAMN21015647,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4121038017,REALBIO,2017,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945010,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0464,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0464clean,2021-09-02T00:00:00Z,2021-08-27T08:25:00Z,1,LZ-0464,SRP334399
SRR15647927,WGS,199,3163830572,PRJNA758208,SAMN21015646,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1282384432,REALBIO,2017,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX11945009,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0439,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0439clean,2021-09-02T00:00:00Z,2021-08-27T08:11:00Z,1,LZ-0439,SRP334399
SRR15647928,WGS,199,4238687915,PRJNA758208,SAMN21015645,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1721303855,REALBIO,2017,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945008,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0437,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0437clean,2021-09-02T00:00:00Z,2021-08-27T08:16:00Z,1,LZ-0437,SRP334399
SRR15647929,WGS,199,3630240760,PRJNA758208,SAMN21015644,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1484045120,REALBIO,2017,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX11945007,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0430,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0430clean,2021-09-02T00:00:00Z,2021-08-27T08:11:00Z,1,LZ-0430,SRP334399
SRR15647930,WGS,199,3723870746,PRJNA758208,SAMN21015581,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1510179696,REALBIO,2017,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX11945006,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0137,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0137clean,2021-09-02T00:00:00Z,2021-08-27T08:13:00Z,1,LZ-0137,SRP334399
