Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version
SRR8266598,AMPLICON,602,28806302,PRJNA507734,SAMN10503077,Metagenome or environmental,17122966,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083538,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-7,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-43,SRP171599,2018-11-30T10:20:00Z,1
SRR8266599,AMPLICON,602,20936356,PRJNA507734,SAMN10503078,Metagenome or environmental,12745751,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083537,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-8,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-44,SRP171599,2018-11-30T10:20:00Z,1
SRR8266600,AMPLICON,602,22911518,PRJNA507734,SAMN10503075,Metagenome or environmental,13628876,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083536,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-40,SRP171599,2018-11-30T10:20:00Z,1
SRR8266601,AMPLICON,602,29475726,PRJNA507734,SAMN10503076,Metagenome or environmental,17751596,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083535,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-42,SRP171599,2018-11-30T10:20:00Z,1
SRR8266602,AMPLICON,602,31496640,PRJNA507734,SAMN10503073,Metagenome or environmental,18878337,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083534,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-37,SRP171599,2018-11-30T10:20:00Z,1
SRR8266603,AMPLICON,602,31282328,PRJNA507734,SAMN10503074,Metagenome or environmental,18679441,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083533,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-38,SRP171599,2018-11-30T10:20:00Z,1
SRR8266604,AMPLICON,602,25050424,PRJNA507734,SAMN10503071,Metagenome or environmental,15015048,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083532,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-31,SRP171599,2018-11-30T10:20:00Z,1
SRR8266605,AMPLICON,602,38583986,PRJNA507734,SAMN10503072,Metagenome or environmental,23273922,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083531,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-35,SRP171599,2018-11-30T10:20:00Z,1
SRR8266606,AMPLICON,602,25763794,PRJNA507734,SAMN10503051,Metagenome or environmental,15567685,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083530,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-13,SRP171599,2018-11-30T10:20:00Z,1
SRR8266607,AMPLICON,602,23985486,PRJNA507734,SAMN10503052,Metagenome or environmental,14416633,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083529,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-12,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-15,SRP171599,2018-11-30T10:20:00Z,1
SRR8266608,AMPLICON,602,26138840,PRJNA507734,SAMN10503053,Metagenome or environmental,15935769,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083528,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-16,SRP171599,2018-11-30T10:20:00Z,1
SRR8266609,AMPLICON,602,19091226,PRJNA507734,SAMN10503054,Metagenome or environmental,11885348,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083527,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-14,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-2,SRP171599,2018-11-30T10:21:00Z,1
SRR8266610,AMPLICON,602,32312350,PRJNA507734,SAMN10503055,Metagenome or environmental,19903790,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083526,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-6,SRP171599,2018-11-30T10:20:00Z,1
SRR8266611,AMPLICON,602,20720238,PRJNA507734,SAMN10503056,Metagenome or environmental,12842614,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083525,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-16,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-8,SRP171599,2018-11-30T10:20:00Z,1
SRR8266612,AMPLICON,602,37481724,PRJNA507734,SAMN10503057,Metagenome or environmental,23465513,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083524,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-17,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-9,SRP171599,2018-11-30T10:20:00Z,1
SRR8266613,AMPLICON,602,22626772,PRJNA507734,SAMN10503058,Metagenome or environmental,12912605,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083523,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-18,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-11,SRP171599,2018-11-30T10:20:00Z,1
SRR8266614,AMPLICON,602,24058328,PRJNA507734,SAMN10503059,Metagenome or environmental,13726132,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083522,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-19,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-12,SRP171599,2018-11-30T10:20:00Z,1
SRR8266615,AMPLICON,602,43755768,PRJNA507734,SAMN10503060,Metagenome or environmental,24869657,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083521,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-20,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-13,SRP171599,2018-11-30T10:20:00Z,1
SRR8266616,AMPLICON,602,31521924,PRJNA507734,SAMN10503094,Metagenome or environmental,19527704,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083520,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-24,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-70,SRP171599,2018-11-30T10:20:00Z,1
SRR8266617,AMPLICON,602,25143132,PRJNA507734,SAMN10503047,Metagenome or environmental,15491826,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083519,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-7,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-1,SRP171599,2018-11-30T10:20:00Z,1
SRR8266618,AMPLICON,602,20753348,PRJNA507734,SAMN10503084,Metagenome or environmental,12584635,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083518,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-14,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-53,SRP171599,2018-11-30T10:20:00Z,1
SRR8266619,AMPLICON,602,28930314,PRJNA507734,SAMN10503083,Metagenome or environmental,17261060,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083517,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-50,SRP171599,2018-11-30T10:20:00Z,1
