Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_material_id,SRA Study,create_date,version
SRR7162367,WGS,300,9789091800,PRJNA453965,SAMN08993489,Metagenome or environmental,4339524468,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-04-23,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX4080656,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076268,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076268,WGC076268D,SRP145558,2018-05-14T12:29:00Z,1
SRR7162368,WGS,300,10989124200,PRJNA453965,SAMN08993490,Metagenome or environmental,4766257906,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-08,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX4080655,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076290,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076290,WGC076290D,SRP145558,2018-05-14T12:32:00Z,1
SRR7162369,WGS,300,10425438300,PRJNA453965,SAMN08993487,Metagenome or environmental,4574576017,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-09-24,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX4080654,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076283,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076283,WGC076283D,SRP145558,2018-05-14T12:32:00Z,1
SRR7162370,WGS,300,10417260300,PRJNA453965,SAMN08993488,Metagenome or environmental,4386637736,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-03-19,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX4080653,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076486,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076486,WGC076486D,SRP145558,2018-05-14T12:56:00Z,1
SRR7162371,WGS,300,11483561400,PRJNA453965,SAMN08993547,Metagenome or environmental,5051714256,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-04-17,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX4080652,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076261,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076261,WGC076261D,SRP145558,2018-05-14T12:35:00Z,1
SRR7162372,WGS,300,11012993700,PRJNA453965,SAMN08993546,Metagenome or environmental,4671127169,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-03-24,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX4080651,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076482,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076482,WGC076482D,SRP145558,2018-05-14T12:35:00Z,1
SRR7162373,WGS,300,9601186500,PRJNA453965,SAMN08993491,Metagenome or environmental,4216644330,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-04-29,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX4080650,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076263,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076263,WGC076263D,SRP145558,2018-05-14T12:34:00Z,1
SRR7162374,WGS,300,12375882600,PRJNA453965,SAMN08993492,Metagenome or environmental,5010545687,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-11-06,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX4080649,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076507,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076507,WGC076507D,SRP145558,2018-05-14T12:34:00Z,1
SRR7162375,WGS,300,11733750000,PRJNA453965,SAMN08993505,Metagenome or environmental,5095278046,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-09,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX4080648,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076292,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076292,WGC076292D,SRP145558,2018-05-14T12:37:00Z,1
SRR7162376,WGS,300,11013298800,PRJNA453965,SAMN08993504,Metagenome or environmental,4806417056,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-05-01,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX4080647,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076257,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076257,WGC076257D,SRP145558,2018-05-14T12:34:00Z,1
