Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR12730874,WGS,502,811164771,PRJNA665854,SAMN16273812,Metagenome or environmental,568040058,KANAZAWA UNIVERSITY,2014-09-30,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9204219,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,HD21,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-29T00:00:00Z,2020-09-29T00:01:00Z,1,Sample71c,HD21,SRP285652
SRR12730875,WGS,531,528004681,PRJNA665854,SAMN16273838,Metagenome or environmental,346441970,KANAZAWA UNIVERSITY,2018-12-14,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9204218,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK16,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:37:00Z,1,Sample182,PK16,SRP285652
SRR12730876,WGS,511,465327010,PRJNA665854,SAMN16273837,Metagenome or environmental,297185560,KANAZAWA UNIVERSITY,2018-12-13,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9204217,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK15,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample188,PK15,SRP285652
SRR12730877,WGS,512,374778787,PRJNA665854,SAMN16273836,Metagenome or environmental,245272308,KANAZAWA UNIVERSITY,2018-12-12,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204216,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK14,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample181,PK14,SRP285652
SRR12730878,WGS,508,451410044,PRJNA665854,SAMN16273835,Metagenome or environmental,284226117,KANAZAWA UNIVERSITY,2018-12-11,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9204215,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK13,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample187,PK13,SRP285652
SRR12730879,WGS,518,583461578,PRJNA665854,SAMN16273834,Metagenome or environmental,358887405,KANAZAWA UNIVERSITY,2018-12-06,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204214,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK12,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:37:00Z,1,Sample186,PK12,SRP285652
SRR12730880,WGS,524,400061898,PRJNA665854,SAMN16273833,Metagenome or environmental,258803408,KANAZAWA UNIVERSITY,2015-08-06,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9204213,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK11,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample180,PK11,SRP285652
SRR12730881,WGS,492,268926366,PRJNA665854,SAMN16273832,Metagenome or environmental,173426661,KANAZAWA UNIVERSITY,2015-06-08,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204212,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK09,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample179,PK09,SRP285652
SRR12730882,WGS,530,429811321,PRJNA665854,SAMN16273831,Metagenome or environmental,272261458,KANAZAWA UNIVERSITY,2014-10-28,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9204211,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK07,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample178,PK07,SRP285652
SRR12730883,WGS,522,372491238,PRJNA665854,SAMN16273830,Metagenome or environmental,249394790,KANAZAWA UNIVERSITY,2014-10-13,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204210,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK06,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample177,PK06,SRP285652
