# Pathway	GupDM_JP	GupDM_JG	GupDM_A4	GupDM_JM	GupDM_A13	GupDM_JK	GupDM_JI	GupDM_A7	GupDM_A2	GupDM_A_11	GupDM_JC	GupDM_JN	GupDM_JJ	GupDM_JO	GupDM_A1	GupDM_JE	GupDM_A12	GupDM_JL	GupDM_A14	GupDM_A8	GupDM_A3	GupDM_A10	GupDM_A5	GupDM_A_15	GupDM_JH	GupDM_JD	GupDM_A9	GupDM_A6	GupDM_JB	GupDM_JA	GupDM_HAK	GupDM_HAJ	GupDM_HAI	GupDM_HAH	GupDM_HAG	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HDF	GupDM_HDB	GupDM_HCY	GupDM_HCL	GupDM_HCU	GupDM_HCV	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HP	GupDM_HS	GupDM_HR	GupDM_HBR
PWY-5656: mannosylglycerate biosynthesis I	0.000745706	0.000823336	0.0	0.000238702	0.000448712	0.000177816	0.000444822	0.000327804	0.000373758	0.0013523	0.00031751	0.000172065	0.000454206	0.000119197	0.00131221	0.000464937	0.0	0.0	0.000662982	0.0011656	0.0	0.001498	0.000167039	0.000578878	6.65644e-05	0.00040005	0.000761358	0.0	0.0	0.0	4.91835e-05	0.0	0.0	5.1463e-05	0.0	0.0	0.000575374	0.0	0.0	0.0	0.0	0.00052578	0.000225803	0.000820211	0.00108083	0.0	0.000366507	0.0	0.0	0.000390662	0.0	0.0	0.000810381	0.0	0.00017178	0.000212526	0.0	0.0	0.000181328	0.000455739
PWY-5659: GDP-mannose biosynthesis	0.000983637	0.00162188	0.00187356	0.00425421	0.00192282	0.00369069	0.00166685	0.00210541	0.00149253	0.00462852	0.00336309	0.00496787	0.00203601	0.00190022	0.0026896	0.00101532	0.00170958	0.00191768	0.0039152	0.0026795	0.00337366	0.00262058	0.00154645	0.00269752	0.00603174	0.00280943	0.0014988	0.00243832	0.00216612	0.00223389	0.000917006	0.0037147	0.000552386	0.000797989	0.000227993	0.000715448	0.00138491	0.00368746	0.00102703	0.00144293	0.0	0.00102666	0.00513505	0.00177393	0.00209746	0.000750913	0.00120746	0.00112286	0.00241711	0.00178402	0.000309831	0.000519652	0.0018336	0.00173424	0.00137992	0.00199928	0.00137666	0.00154801	0.000457798	0.00135908
PWY-5667: CDP-diacylglycerol biosynthesis I	0.00555861	0.00535435	0.00942072	0.0091761	0.00533683	0.0090518	0.0065614	0.00560267	0.00623098	0.0065466	0.00835363	0.00918271	0.00564756	0.00717316	0.00523341	0.0049092	0.00431325	0.00811448	0.00836023	0.0054582	0.00931432	0.00450895	0.00945877	0.00495966	0.0104698	0.00583997	0.00709337	0.0110328	0.00767607	0.00783955	0.00603479	0.0101327	0.0064486	0.00359873	0.00619196	0.0051328	0.00593615	0.00856486	0.00729534	0.00464203	0.00141196	0.00346458	0.0105485	0.00878944	0.00482256	0.00219043	0.00796189	0.00619743	0.00749134	0.01113	0.00573566	0.011979	0.00450703	0.00599378	0.0071993	0.00661956	0.00326879	0.00482639	0.00488133	0.00996566
PWY-5675: nitrate reduction V (assimilatory)	0.00213719	0.00337078	0.0	0.000295829	0.00289783	0.00041079	0.000642342	0.00182805	0.000790907	0.00367031	0.000532767	0.000325257	0.00117	0.00110453	0.00276291	0.00068793	0.0014079	0.000179712	0.00081347	0.00323505	0.0	0.00321242	0.000455106	0.00336813	0.000277535	0.00132698	0.00170862	0.0	0.000325022	0.0	6.84178e-05	0.0	0.0	0.000145254	0.000355208	0.00163425	0.00231516	0.000156085	0.000853689	0.000522725	0.0	0.000714268	0.0	0.0	0.00334163	0.0	0.00126702	0.000143947	0.0	0.0	0.000260923	0.000303995	0.000624671	0.0	8.24005e-05	0.00181777	0.0	0.000140331	0.000379766	0.0
PWY-5676: acetyl-CoA fermentation to butanoate II	0.00077542	0.000910571	0.00013762	0.00054838	0.000900005	0.000190162	0.000867845	0.00105834	0.000464089	0.00206636	0.00085714	0.000787322	0.00162726	0.000761888	0.00153218	0.0	0.00111186	0.0	0.00048692	0.0	0.000366426	0.00155462	0.00079653	0.0	0.000151147	0.00117966	0.000362772	0.00066983	0.0	0.0	0.0	0.0	0.0	0.000166789	0.0	0.00029092	0.000539443	0.000492339	0.00011567	0.0	0.0	0.0	0.0	0.000820359	0.000667267	0.0	0.000908621	0.0	0.000431004	0.000551546	0.0	0.000367203	0.000104022	0.0	0.0	0.000578766	0.0	0.000114186	0.0	0.000683757
PWY-5677: succinate fermentation to butanoate	0.0	0.0	0.0	0.000105739	0.0	0.0	0.0	0.0	0.0	0.000404433	0.000187284	0.000142011	0.000134656	6.53057e-05	0.00011964	0.0	0.0	0.0	0.0	0.0	0.0	0.00026088	0.0	1.81759e-05	0.0	0.0002471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5686: UMP biosynthesis I	0.0116998	0.0107082	0.0135401	0.0115041	0.00531875	0.012741	0.011074	0.00705303	0.0219674	0.00720866	0.011171	0.0112245	0.011063	0.0119883	0.00479731	0.0148082	0.0055097	0.0182636	0.00907699	0.00421585	0.0118731	0.00426156	0.0126264	0.00413573	0.0122423	0.00965055	0.0085802	0.0153509	0.0144294	0.0201202	0.0163981	0.0114407	0.0180928	0.0167915	0.0194768	0.0125894	0.00907146	0.0109986	0.0138736	0.0168743	0.0227047	0.0134738	0.0106171	0.0120592	0.00774793	0.0189724	0.00937269	0.0196913	0.0122413	0.0164042	0.0172452	0.0161363	0.0163604	0.0121494	0.0200763	0.0097201	0.0168311	0.0145742	0.0172156	0.0133367
PWY-5690: TCA cycle II (plants and fungi)	0.000207327	0.000328039	0.0	0.0	0.000424964	0.0	0.0	0.000566561	0.0	0.000109416	0.0	0.0	0.0	0.0	9.13979e-05	0.0	0.000568004	0.0	0.000106649	0.0	0.0	0.0	0.00125992	0.0	0.0	0.0	0.00217063	0.0	0.0	0.0	0.0	0.000386172	0.000127911	0.000201924	0.0	0.000521412	0.0	0.00115688	0.0	0.000602069	0.0	0.000717847	0.0	0.000304279	0.0	0.00033638	0.00125429	0.0	0.000828767	0.0	0.0	0.00107355	0.000308744	0.0	0.00027939	0.000375268	0.000739454	0.000178708	0.000237547	0.0
PWY-5692: allantoin degradation to glyoxylate II	4.47477e-05	0.0	0.0	0.0	7.23009e-05	0.0	0.000116451	1.84948e-05	0.0	1.51991e-05	3.35465e-05	3.47315e-05	0.000177271	2.62951e-05	0.000364137	0.0	1.43121e-05	0.0	0.00018754	0.000993996	0.0	0.000272584	0.0	0.00100617	0.0	0.000251351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.92723e-05	0.0	0.0	0.0	0.0	6.87315e-05	0.0	0.0	0.0	0.0	2.35825e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5695: inosine 5'-phosphate degradation	0.010238	0.00744369	0.00703969	0.0104682	0.00502996	0.0135195	0.0107132	0.00652528	0.00818625	0.00777484	0.0096725	0.0108836	0.0104124	0.0109516	0.00574626	0.0140102	0.0048614	0.00917906	0.00900822	0.00660072	0.0106173	0.00535014	0.0101242	0.00697848	0.0113065	0.00969831	0.00819739	0.0124162	0.012121	0.00988428	0.0117939	0.0124019	0.014878	0.01218	0.0135601	0.00959721	0.00792234	0.0107914	0.00978113	0.0129445	0.018154	0.0115212	0.0106129	0.0113724	0.00788127	0.015892	0.00630823	0.0139258	0.0108778	0.00662764	0.0109661	0.0156194	0.0100546	0.00962062	0.0135231	0.0104313	0.0136831	0.0110748	0.0125079	0.0113985
