# Pathway	C10	C15	C41	C46	C6	C9	C11	C12	C16	C18	C19	C1	C20	C21	C22	C23	C24	C25	C26	C28	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C3	C40	C42	C43	C44	C45	C4	C5	C7	H15_1	H18_1	H2_1	H25_1	H26_1	H41_1	H42_1	H50_1	H5_1	H60_1	H61_1	H8_1	H9_1	H32_1	H49_1	H59_1	H78_1	H83_1
PWY66-388: ceramide degradation by &alpha;-oxidation	0.0	0.0	0.0	0.0	4.48784e-05	0.0	0.0	0.0	0.0	0.0	1.60923e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01803e-06	0.0	0.0	2.17509e-05	0.0	0.0	6.60268e-06	0.0	0.0	4.49941e-05	6.02538e-05	9.6535e-06	0.0	0.0	0.0	7.30968e-05	5.01844e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY66-389: phytol degradation	2.16131e-05	0.0	9.79565e-07	2.62035e-06	0.000449237	1.28133e-05	0.000907348	5.4614e-05	0.000124796	0.000368088	0.000436697	1.44935e-05	0.000538099	0.00051812	5.24839e-05	2.82447e-05	0.000252455	0.000939399	5.86715e-05	7.83032e-05	0.000132048	1.28776e-05	0.000855785	0.000767546	0.000130007	2.35264e-07	0.000371169	0.0	1.76885e-05	0.00192526	0.0	5.31194e-05	0.00104084	0.000434393	7.17059e-06	0.00020113	0.0	4.52468e-05	0.000106244	0.000291374	0.000584605	0.000463896	0.000279594	0.000234081	0.00106726	0.00042293	0.000275534	0.000693336	3.70197e-06	0.0	0.000242286	0.000117837	0.00070296	0.0	0.000708334	1.69871e-05	0.000359602
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)	0.000182397	0.0	7.63208e-05	0.0	0.000145971	0.00020628	4.78813e-05	1.40536e-05	0.000452814	2.04873e-05	5.43189e-05	0.0	1.2737e-05	5.28246e-05	0.000202924	4.07038e-05	8.00644e-06	0.000123188	2.8593e-05	1.07098e-05	0.000456853	3.18136e-05	0.0	0.0	9.75452e-05	7.25509e-05	9.03726e-06	0.0	2.67589e-05	0.0	6.4482e-05	1.00367e-05	0.0	1.11512e-05	2.47845e-05	2.78103e-05	6.62807e-05	0.000305709	0.0	3.37629e-05	5.77432e-05	6.24991e-05	6.08736e-05	3.83839e-05	4.46652e-05	0.0	0.00011505	0.000250615	0.000148221	0.0	0.0	0.0	0.0	0.0	0.0	7.02115e-05	4.5096e-05
PWY66-398: TCA cycle III (animals)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.90849e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.06035e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY66-399: gluconeogenesis III	0.00119905	0.00298171	0.000975325	0.00107283	0.00017682	0.00042442	0.00134108	0.00239626	0.00261401	0.0027088	0.00139722	0.00217057	0.00178685	0.00228947	0.00300197	0.00231994	0.00071793	0.00313757	0.0019031	0.0025373	0.000902098	0.00192164	0.00150857	0.00188798	0.00172451	0.00191021	0.00111024	0.000839853	0.00251511	0.0014834	0.00224868	0.00277268	0.00175617	0.00179396	0.00261649	0.00190996	0.00144506	0.00186835	0.00169346	0.00116651	0.00192923	0.0	0.00323537	0.00106363	0.00272533	0.000477425	0.00270464	0.000574805	0.000359747	0.00281198	0.00138724	0.0	0.00149172	0.0	0.00137596	0.00294971	0.00229853
PWY66-409: superpathway of purine nucleotide salvage	0.00255367	0.00356976	0.00100812	0.000542994	0.000503075	0.000604073	0.0031656	0.000884937	0.00158588	0.000844695	0.00204974	0.000948603	0.0010203	0.00194059	0.00120565	0.0038081	0.00308191	0.0015985	0.0013298	0.00134926	0.00142286	0.00151245	0.00260597	0.000163332	0.00337591	0.00050441	0.000963783	0.000975077	0.00119473	0.0039324	0.00145314	0.000975848	0.000848102	0.0027588	0.000929291	0.00120579	0.00105171	0.000641698	0.00098706	0.00272516	0.00241559	0.00413948	0.00313463	0.00278587	0.00478747	0.00363656	0.0017922	0.00394769	0.00235967	0.00243538	0.0	0.0019719	0.00254352	0.0	0.00317633	0.00109262	0.00104357
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	0.00534304	0.00695307	0.0074348	0.00539912	0.0118123	0.0129421	0.00707335	0.00993178	0.00835691	0.00932938	0.0072262	0.00848268	0.00615187	0.00681457	0.00848713	0.00721317	0.00734331	0.00767126	0.00792184	0.00862256	0.00905341	0.00847199	0.00616733	0.00801926	0.00665961	0.0104362	0.00493864	0.00700465	0.00663245	0.00529736	0.00843531	0.00948098	0.00690094	0.00656111	0.00734079	0.00789232	0.00730643	0.00936394	0.00708607	0.00786185	0.00540546	0.00625495	0.00931408	0.00703693	0.00580501	0.00750179	0.00756785	0.00628852	0.0102054	0.00738746	0.00802983	0.00567867	0.00674165	0.0153637	0.00647761	0.00698669	0.0071282
PWY66-430: myristate biosynthesis (mitochondria)	0.0	0.0	0.0	0.0	0.0	0.0	0.000116154	5.42006e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.625e-05	0.0	0.000837039	0.0	0.0	0.0	0.000276216	8.20991e-06	1.68165e-05	0.0	0.0	0.0	3.38096e-06	0.0	0.0	0.000830631	0.0	6.56299e-05	0.0	0.0	0.0	1.02348e-05	0.0	3.48504e-05	0.0	0.0	0.0	0.00115304	0.0	0.0	0.0	0.000296859	5.87579e-05	0.0	6.29567e-06	0.0	0.0	0.0	0.0	0.0	0.000393308	2.3228e-05	0.0
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	0.000841991	0.0	7.37609e-05	4.16514e-05	0.000143212	0.000124264	0.00146053	3.33023e-05	0.000752037	0.000213581	0.000423518	0.000449414	7.12175e-05	0.000631921	0.000202423	0.00128159	0.00157886	0.000734259	0.000357683	0.000233418	0.000135391	0.000497311	0.00203089	0.000268244	0.00138325	7.26717e-05	0.000111455	0.000103657	3.39009e-05	0.0010356	0.000996975	0.000741739	2.82765e-05	0.000313027	1.41657e-05	0.000250061	0.000383377	0.000134661	0.000160644	0.00330717	0.00173642	0.00185818	0.000333248	0.00135099	0.00119595	0.00222441	6.78369e-05	0.00198203	0.000533782	0.000322347	0.000630521	0.0	0.00195535	0.0	0.00160268	0.000406743	0.0
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	0.00674252	0.00630498	0.00716637	0.00966092	0.00754722	0.00903028	0.00443277	0.00789231	0.00593079	0.0060554	0.0072333	0.00757117	0.00799661	0.00623596	0.00588174	0.00456155	0.00476124	0.00543223	0.00600936	0.00674521	0.00797392	0.00710073	0.0043899	0.00747492	0.00505723	0.00690209	0.00757131	0.00774275	0.00664672	0.00391116	0.00651292	0.00664519	0.0078451	0.00681115	0.00585811	0.00742498	0.00769236	0.00754941	0.00707544	0.00634567	0.00699661	0.00424077	0.00637886	0.00549787	0.00432039	0.00447679	0.00683728	0.00401219	0.00792205	0.00537185	0.0055298	0.0106108	0.0052684	0.00975757	0.00481309	0.00743668	0.00671442
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	0.000314688	0.00132914	0.00101963	0.000357268	0.00281748	0.00670156	0.00249523	0.00342758	0.00254388	0.00187737	0.000619968	0.00196994	0.000315801	0.000537896	0.00233471	0.00240488	0.00311085	0.00469189	0.000681469	0.000842828	0.00679609	0.00359388	0.0019322	0.000596449	0.00321573	0.00255721	0.000164402	0.000483629	0.000796058	0.00171719	0.00208981	0.00149571	0.00199187	0.00099831	0.00125337	0.000830246	0.000859796	0.00594411	0.000745661	0.00139322	0.000671974	0.00234291	0.00327111	0.00150247	0.00249976	0.00120594	0.00140363	0.00279918	0.00630108	0.001423	0.00224869	0.00237621	0.00364578	0.00936068	0.00201114	0.00218355	0.00223867
REDCITCYC: TCA cycle VI (Helicobacter)	0.000223118	2.76697e-05	3.33391e-05	5.5973e-05	1.55627e-05	3.97865e-05	0.000873901	5.86388e-05	0.000241889	0.000161353	5.56039e-05	1.74054e-05	4.7502e-05	0.0	0.000315254	0.000487416	0.000604701	0.000894136	0.000140188	0.000110499	9.25151e-05	0.000240946	0.000985919	6.03627e-05	0.000905628	6.6778e-05	0.000101968	0.0	0.0	0.000660847	1.00783e-05	0.000173829	0.0	0.000155852	1.26176e-05	0.000148635	1.71145e-05	0.000184577	0.000120481	0.000186393	0.000205998	0.000495998	5.11323e-05	0.000309246	0.000593311	0.000528551	0.000134536	0.000135682	0.000266238	0.000108379	0.0	0.0	0.00133866	0.0	0.00027841	2.79587e-05	0.000279915
