# Pathway	VF421	LILT_VF378	VF399	LILT_VF334	VF419	LILT_VF300_T016	LILT_VF73_16	VF417	LILT_VF318	LILT_VF270_T017	LILT_VF360	LILT_VF234_T017	VF403	VF425	LILT_VF106_16	LILT_VF120_16	LILT_VF155_T017	LILT_VF207_T017	LILT_VF379	LILT_VF100_T016	LILT_VF176_T017	LILT_VF394	LILT_VF174_T017	LILT_VF363	LILT_VF71_16	LILT_VF142_T017	LILT_VF145_T017	VF401	VF402	LILT_VF65_16	LILT_VF232_T017	VF412	LILT_VF77_16	LILT_VF95_16	LILT_VF385	LILT_VF392	LILT_VF377	LILT_VF29_16	LILT_VF208_T017	LILT_VF348	LILT_GF15_16	LILT_VF281_T017	LILT_VF114_T017	LILT_VF154_T017	LILT_VF240_T017	VF400	LILT_VF107_16	LILT_VF264_T017	LILT_VF313	LILT_VF222	VF406	LILT_VF328	LILT_VF217_T017	VF423	LILT_VF166_T017	LILT_VF251_T017	LILT_VF315	VF404	LILT_VF167_T017	LILT_VF273_T017	LILT_VF138_T017	LILT_VF109_16	LILT_VF63_16	LILT_GF11_16	LILT_VF311	LILT_VF110_16	LILT_GF04_16	LILT_VF05_16	LILT_VF306	LILT_VF75_16	LILT_VF74_16	LILT_VF303	LILT_VF337	LILT_VF12_16	LILT_VF41_16	LILT_VF76_16	LILT_VF78_16_A	LILT_VF243	LILT_VF01_16	LILT_VF14_16	LILT_VF34_16	LILT_VF298	LILT_VF81_16	LILT_VF39_16	LILT_VF84_16	LILT_VF31_16	LILT_VF10_T016	LILT_VF43_16	LILT_VF339	LILT_VF380	LILT_VF82_T016	LILT_VF279_T016	LILT_VF326	LILT_VF370	LILT_VF28_T016	LILT_VF18_T016	LILT_VF262_T016	LILT_VF265_T016	LILT_VF189_T016	LILT_VF40_16	LILT_VF140_T016	LILT_VF255_T016	LILT_VF261_T016	LILT_VF06_16	LILT_VF170_T016	LILT_VF259_T016	LILT_VF00TL_16	LILT_VF335	LILT_VF171_T016	LILT_GF06_16	LILT_VF293	LILT_VF206_T016	LILT_VF212_T016	LILT_VF263_T016	LILT_VF351	LILT_VF192_T017	LILT_VF314	VF416	LILT_VF02_T016	LILT_VF04_16	LILT_VF07_16	LILT_VF30_16	LILT_VF32_T016	LILT_VF35_16	LILT_VF37_16	LILT_VF38_16	LILT_VF47_16	LILT_VF50_16	LILT_VF55_T017	LILT_VF56_16	LILT_VF60_T016	LILT_VF62_T017	LILT_VF66_T017	LILT_VF67_16	LILT_VF69_16	LILT_VF70_16	LILT_VF90_16	LILT_VF97_16	LILT_VF102_T017	LILT_VF172_T017	LILT_VF197_T017	LILT_VF214_T016	LILT_VF301_T016	VF397	LILT_VF382	LILT_GF12_16	LILT_VF236_T017	LILT_GF16_T017	LILT_GF17_16	LILT_GF18_T016	LILT_VF216_T017	LILT_VF346	LILT_VF362	LILT_VF390	LILT_VF391	VF359	VF388	VF458	VF444	VF446	VF440	VF453	VF445	VF449	VF465	VF459	VF439	VF450	VF452	VF448	VF463	VF461	VF462	VF455	VF464	VF469	VF443	VF347	VF442	VF274	VF322
PWY-5686: UMP biosynthesis I	0.0135385	0.00946974	0.0112935	0.0110819	0.0116046	0.00891458	0.0114248	0.00696732	0.0148659	0.0122783	0.00331653	0.00745833	0.00815912	0.00515334	0.00447472	0.0120835	0.0126297	0.0100343	0.00337042	0.0137851	0.0134994	0.0128172	0.0154896	0.0124652	0.00506674	0.00837993	0.0131107	0.00406167	0.00432799	0.0109931	0.0132561	0.0117831	0.0131407	0.00904924	0.00733461	0.00304245	0.00825655	0.0122134	0.00408011	0.00796031	0.0140201	0.0109582	0.00694933	0.004482	0.00451642	0.0087725	0.00734571	0.0138238	0.00889809	0.0146266	0.00562172	0.00554188	0.00549619	0.0112255	0.0120205	0.0127171	0.00972524	0.00717491	0.010977	0.00955375	0.00855509	0.00351528	0.00819824	0.00881058	0.0161856	0.0123925	0.0132162	0.0153544	0.00550603	0.0127189	0.00783084	0.00930903	0.0154466	0.0127655	0.0118887	0.0120782	0.0105791	0.0113358	0.0140964	0.00557239	0.0135325	0.00947662	0.0178153	0.0144667	0.0138266	0.0131838	0.0149163	0.0127985	0.0131458	0.0136582	0.0194783	0.0107733	0.00508834	0.00743855	0.0121052	0.0125495	0.0120018	0.0116617	0.0127816	0.0141826	0.0156586	0.0120407	0.0144977	0.00904427	0.0148439	0.00885586	0.0133255	0.0123016	0.0118067	0.00589709	0.0180064	0.0103053	0.0134317	0.0119489	0.0113588	0.0101845	0.0044221	0.0100195	0.0150314	0.00720295	0.0158568	0.0100791	0.0126272	0.0123412	0.0104235	0.0122323	0.00640126	0.0136956	0.0121826	0.0039149	0.0131179	0.0123749	0.00948307	0.013573	0.013335	0.0205399	0.00934261	0.00499404	0.0136224	0.0180306	0.0107501	0.0047703	0.00847479	0.00818171	0.0137864	0.0102877	0.00753549	0.0140374	0.0122848	0.0123164	0.00349651	0.00358454	0.0127903	0.00388209	0.00378195	0.00531271	0.00840618	0.0102717	0.0117615	0.00949629	0.0104849	0.00747766	0.0127886	0.00801956	0.0136759	0.00664547	0.0115493	0.00997282	0.00966871	0.0103758	0.00694944	0.00642003	0.0111109	0.0107053	0.00413655	0.0123771	0.00931657	0.00552211	0.0107769	0.0105118	0.0104048
PWY-5690: TCA cycle II (plants and fungi)	0.000111203	6.78799e-05	7.65108e-05	0.00033361	0.0	0.00012783	0.0	0.0	0.0	0.000262796	0.0	0.000101875	0.0	0.0	0.0	8.82554e-05	0.0	0.000342973	0.0	0.0	0.0	0.000205643	0.000116036	0.000162363	5.45406e-05	0.0	0.000272033	0.0	6.15041e-05	0.0	0.0	0.000123725	9.07045e-05	0.000253114	0.000108681	7.29124e-05	0.000171708	8.63199e-05	0.0	0.0	0.000244261	4.54962e-05	0.0	0.0	0.0	0.000192809	0.000836208	0.000301978	0.000330034	0.000351927	4.01072e-05	0.000155959	0.0	0.0	0.000446367	0.000297351	0.000136207	0.000432567	0.000261215	0.0	0.000129277	0.000103512	0.0	0.0	0.000309388	0.000123759	4.37679e-05	0.0	0.0	0.000128116	9.17195e-05	0.000193244	8.96444e-05	5.20914e-05	3.41937e-05	0.0	0.00032323	0.00022636	0.0	0.000157132	0.000138486	0.000155445	0.000125875	0.000158327	9.76194e-05	0.000128503	0.0	0.000193409	0.000255144	0.000189037	0.0	0.0001296	0.0	0.000319799	8.87287e-05	7.48548e-05	0.000381656	0.000205377	0.000151684	0.0	0.0	0.000460401	0.000251007	0.000256305	9.62758e-05	0.0	0.0002834	0.000103323	0.000447505	0.0	0.00016362	0.000490185	0.000243782	0.000338893	0.0	0.0	3.83648e-05	0.0001775039999999	0.0	0.000935312	0.0	0.000148025	0.0	0.0	8.51545e-05	0.000145169	8.96811e-05	8.6404e-05	0.000302705	0.0	0.0	7.9008e-05	0.0	1.90531e-05	0.000109249	9.73498e-05	0.00031558	0.000107375	7.666e-05	0.000244267	0.0	0.0	0.000117248	0.0	0.000148758	0.0	0.000268485	9.78959e-05	0.000248165	0.0002925	0.0	0.0	0.000594608	2.38857e-05	0.0	5.21895e-05	0.000322277	6.07638e-05	0.000131806	0.000135788	0.000780331	0.0	4.29473e-05	0.000350556	0.000103124	0.000194197	2.54631e-05	0.000287113	0.000372195	9.96215e-05	4.12233e-05	0.000389144	4.28258e-05	0.000257634	0.00018007	0.000151652	0.000195029	0.0	0.00014295	0.000226397	8.3418e-05
PWY-5692: allantoin degradation to glyoxylate II	0.0	3.5259e-06	0.0	6.92272e-06	0.0	2.32963e-06	4.35912e-05	0.0	0.0	1.51108e-05	0.000399974	3.61711e-05	1.07654e-05	1.39823e-05	0.0	4.35251e-05	0.0	2.85169e-05	0.000180235	0.0	0.0	0.0	0.0	0.0	0.000198717	5.71366e-05	0.0	0.00017473	8.74993e-05	1.33563e-05	0.0	0.0	0.0	1.90304e-05	7.47888e-05	3.96024e-05	4.77146e-05	0.0	4.98824e-07	0.000661274	0.0	5.33726e-06	8.6995e-05	0.000131837	0.0	1.03549e-05	0.000174488	0.0	0.000101161	0.0	0.000109707	3.97487e-05	0.0	0.0	0.0	0.0	0.0	3.09838e-05	1.15086e-05	3.16259e-05	0.0	0.00207636	0.0	0.000102878	0.0	0.0	0.0	0.0	1.52309e-05	0.0	1.42489e-05	1.14846e-05	0.0	0.0	7.66015e-05	1.47655e-05	0.0	0.0	8.74162e-06	2.18127e-05	0.0	0.0	0.0	0.0	7.83372e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000295447	2.35859e-05	3.20335e-06	0.0	0.0	0.0	5.30702e-06	0.0	8.56854e-06	8.92426e-06	0.0	5.98077e-06	0.0	3.00113e-05	0.0	1.3403e-05	2.92059e-05	1.58158e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00011354	4.63449e-06	0.0	3.04756e-05	0.0	0.0	0.0	0.0	3.07637e-05	0.0	0.000195922	0.0	0.0	0.000132026	0.0	0.0	0.0	0.0	0.0	0.0	1.15937e-05	1.69335e-05	0.0	0.0	0.0001571	1.21323e-05	0.000403365	0.000110089	1.13157e-05	6.3554e-06	7.28931e-05	0.0	0.0	0.0	0.000207396	0.0	0.0	0.000329447	5.39973e-05	0.000376586	5.15746e-05	1.62864e-05	0.0	9.3919e-06	0.0	6.13572e-05	1.71995e-05	2.82364e-05	0.0	6.84224e-05	0.0	1.75414e-05	1.044e-05	7.39197e-06	4.63413e-05	2.11491e-05	1.15424e-05	0.0	2.22919e-05	0.0	3.63327e-05	1.73518e-05	1.69835e-06	0.0	5.44863e-06
PWY-5695: inosine 5'-phosphate degradation	0.00894485	0.0105835	0.0111073	0.0097525	0.00386509	0.00738157	0.00871126	0.0102737	0.0101489	0.0100331	0.00691411	0.00811023	0.00833145	0.00582907	0.00705855	0.00910392	0.0100899	0.00801136	0.00566189	0.0111333	0.0101008	0.0107006	0.0129407	0.0108328	0.00729266	0.00929715	0.0100027	0.00585225	0.00749665	0.00957861	0.0128701	0.0111735	0.0105836	0.0101074	0.00869226	0.00610791	0.0085212	0.011128	0.00441293	0.00631042	0.0099688	0.010757	0.00749052	0.00530424	0.00634883	0.0101531	0.00830401	0.010365	0.00880987	0.011273	0.00633957	0.00619565	0.00725231	0.00927647	0.0107138	0.012187	0.00753653	0.00720756	0.0105246	0.00974278	0.00952121	0.00614654	0.010542	0.00706515	0.0110998	0.0117221	0.00909238	0.0114065	0.00748517	0.0138201	0.0100441	0.00672884	0.00938756	0.0115411	0.00993996	0.00836532	0.0106898	0.0105624	0.0098801	0.00763559	0.00789021	0.0111969	0.0108803	0.0111241	0.0100107	0.00916341	0.011006	0.00916529	0.00913434	0.00942259	0.0127433	0.0116386	0.00529599	0.00720157	0.0108474	0.0103285	0.00958406	0.0100766	0.0094849	0.0118642	0.0120835	0.00889806	0.00938209	0.00932512	0.00944694	0.0085744	0.00834718	0.00858891	0.0075825	0.0062188	0.0105524	0.00837105	0.00897954	0.00932647	0.00671959	0.00919577	0.00696175	0.00837102	0.00968553	0.00733779	0.00885949	0.00830601	0.0111998	0.0115654	0.00646155	0.00855047	0.00817673	0.0109052	0.0104493	0.00698333	0.010059	0.0103491	0.00796158	0.0134046	0.00974627	0.0176278	0.0107924	0.00720165	0.0107608	0.010631	0.0105651	0.00457611	0.00723533	0.00875815	0.00713762	0.00930398	0.00844687	0.0114842	0.0107912	0.00590631	0.00748778	0.00475081	0.0102148	0.00735038	0.00430035	0.00628935	0.00750096	0.00891922	0.00899288	0.00979034	0.0103066	0.00816397	0.0093523	0.00778245	0.0110597	0.00811613	0.00962911	0.0095287	0.00903226	0.0104396	0.00724223	0.00813395	0.00857315	0.00983718	0.00620828	0.0102706	0.00905004	0.00724873	0.00832011	0.0100172	0.00951131
PWY-5705: allantoin degradation to glyoxylate III	0.0	3.15341e-05	2.64384e-05	5.79902e-05	1.99442e-05	0.000494263	0.000213106	0.0	0.0	5.90087e-05	0.00175897	0.000269007	0.000161903	4.58963e-05	0.000609729	0.000102856	0.0	0.000180587	0.00111501	0.0	0.0	0.0	0.0	5.17724e-05	0.000780964	0.000195966	5.78848e-05	0.000715909	0.00057131	0.000150914	6.18133e-05	0.0	0.0	0.000175759	0.000355902	0.000471147	0.000128156	0.0	9.67966e-07	0.000833697	0.0	6.66466e-05	0.000121509	0.000455756	0.0	0.000102413	0.000298098	0.0	0.000234388	0.0	0.000215232	0.000193805	6.143e-06	0.0	0.0	0.0	3.02403e-05	7.38662e-05	3.44425e-05	0.000200452	0.0	0.00226	0.0	0.000195648	0.0	1.50987e-05	0.0	0.0	0.000192641	0.0	0.000423435	3.22206e-05	0.0	0.0	0.000183463	0.000162786	0.0	0.0	5.36232e-05	0.000756661	5.21788e-06	3.49103e-05	0.0	0.0	3.07962e-05	0.0	0.0	0.000109256	0.0	0.0	0.0	0.0	0.000863973	0.000314094	3.44186e-06	0.0	0.0	0.0	3.42179e-05	0.0	6.10504e-05	6.03883e-05	2.41127e-05	6.36306e-05	0.0	4.55434e-05	0.0	0.000156881	0.000129421	0.000479276	0.0	0.000161195	0.0	0.0	0.0	0.0	0.000289465	6.59803e-05	1.64398e-05	0.000294714	0.0	0.000123148	0.0	0.0	0.000257594	0.0	0.00057854	5.43975e-05	0.0	0.000855889	0.0	7.94684e-06	0.0	0.0	0.0	0.0	0.00012652	0.000669364	3.43095e-05	0.0	0.000236174	0.000129087	0.000637629	0.000185633	7.23978e-05	3.38985e-05	0.000335593	0.0	4.99814e-05	3.79363e-05	0.000985586	0.0	0.0	0.000881532	0.00026268	0.000529209	9.14208e-05	5.70923e-05	0.0	9.46913e-05	0.0	0.000327074	6.56109e-05	9.46258e-05	0.0	0.000496791	2.24221e-05	0.000105192	0.000117259	1.14092e-05	0.000139225	0.000715728	4.27409e-05	9.61647e-05	0.000109209	0.0	0.000165469	0.000254958	3.09996e-05	0.0	4.3237e-05
PWY-5723: Rubisco shunt	0.000184636	0.000311939	0.000157136	0.00114602	0.00066435	0.00234554	0.00124586	9.01197e-05	0.000568203	0.00152742	0.00594311	0.0029385	0.00102863	0.00287284	0.00487528	0.00086781	0.00559613	0.00143677	0.00428828	0.000120478	0.000147051	0.000102079	0.0	0.00101517	0.00433275	0.00299883	0.000755409	0.00323291	0.0054621	0.00155654	0.000608376	6.08266e-05	0.0	0.00114435	0.00265924	0.0055274	0.000760537	0.0	0.00594184	0.00276364	0.000353493	0.000624275	0.00265316	0.00316148	0.0049026	0.000826953	0.00269574	1.5572e-05	0.0016368	0.0	0.00294318	0.00196498	0.00406103	0.0	0.00392445	0.000199175	0.00274629	0.00174609	0.000301204	0.00179833	0.00126066	0.00431825	0.0	0.0017173	0.000101566	0.000956077	0.0	0.0	0.0036688	0.0	0.00296811	0.00171803	3.51182e-05	0.0	0.00277576	0.00182037	0.0	0.0	0.000180202	0.00469069	0.000279467	0.000302505	0.0	0.0	0.00050458	0.0	0.0	0.00190429	0.0	0.0	0.0	1.86613e-05	0.0042621	0.00251233	1.89239e-05	0.0	0.0	0.0	0.000143767	1.69534e-05	0.000259074	0.000382301	0.00036162	0.0012925	0.0	0.000917146	0.00027537	0.0012773	0.000667983	0.00436654	8.39353e-05	0.0	0.0	0.0	0.00127053	0.000656481	0.00522104	0.000439954	0.0	0.00284805	0.0	0.00153766	0.0	0.0	0.00250732	0.0	0.00328055	0.00023492	3.49872e-05	0.00449059	0.0	8.33028e-05	0.0	3.29001e-05	0.000322463	0.0	0.000953331	0.00429244	0.000238064	0.0	0.00138703	0.00547452	0.00266993	0.00158655	0.000668134	0.000205682	0.0028533	0.0	0.000571943	0.000506986	0.00430796	0.0059846	0.0	0.00554689	0.00523597	0.00287098	0.00165154	0.00105524	0.0	0.000724455	0.000212835	0.00150973	0.00053453	0.00262088	0.000120211	0.00294873	0.000361943	0.000675224	0.00109737	0.00022486	0.00179383	0.00334477	0.000510503	0.000335802	0.00488432	0.000129954	0.00132138	0.0019502	0.000162043	0.0	0.000754873
PWY-5724: superpathway of atrazine degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000104301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.75972e-05	0.0	0.0	0.0	0.0	0.0	2.81471e-05	0.0	0.000158534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33875e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72911e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73083e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68997e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.21112e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.26861e-05	0.0	3.09253e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57179e-05	0.0	1.52573e-05
PWY-5742: L-arginine degradation IX (arginine:pyruvate transaminase pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000741395	2.36566e-05	0.0	0.0	0.0	0.0	8.76622e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000199865	0.0	0.0	0.0	0.0	1.76106e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.36945e-05	0.000327111	0.0	0.0	0.0	0.0	0.0	0.0	0.000450112	6.05439e-05	0.0	8.88815e-05	0.0	0.0	0.0	0.0	0.000279665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000105115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06094e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5747: 2-methylcitrate cycle II	0.0	2.68245e-05	2.70089e-06	0.000130286	0.000113988	2.35734e-05	8.46987e-05	0.0	6.55291e-05	8.24499e-05	0.000549757	0.000195449	5.85564e-05	0.000304559	0.000456782	4.89772e-05	0.0	0.000111366	0.0014016	0.0	0.0	0.0	0.0	2.25838e-05	0.000446288	0.000195111	3.91036e-05	0.00111124	0.000734892	0.000327002	2.76063e-05	0.0	0.0	0.000153539	0.000220246	0.00160356	5.63649e-05	0.0	6.32626e-06	0.00118053	0.0	3.31244e-05	0.00015956	0.00132878	0.0	5.56044e-05	0.000287811	0.0	0.000117253	0.0	0.000343503	0.0013009	0.000635075	0.0	2.89207e-05	0.0	0.00017558	0.000152358	1.23106e-05	0.000509142	0.0	0.00057898	0.0	0.000255491	0.0	2.38594e-05	0.0	0.0	0.000306119	0.0	0.000169729	0.000105995	0.0	0.0	0.000303826	0.000135053	0.0	0.0	1.75158e-05	0.000437595	4.26822e-06	0.0	0.0	0.0	4.25505e-05	0.0	0.0	0.000172065	0.0	0.0	0.0	0.0	0.000849615	0.000162174	0.0	0.0	0.0	0.0	8.71314e-05	0.0	1.2916e-05	3.9725e-05	1.44054e-05	5.88258e-05	0.0	6.53735e-05	1.07673e-05	0.000153215	4.4202e-05	0.00113428	0.0	0.0	0.0	0.0	4.39609e-05	5.49201e-05	0.00045142	9.38225e-05	1.24197e-05	0.000362963	0.0	0.000126329	0.0	0.0	0.000152531	0.0	0.000163719	1.25591e-05	6.22234e-06	0.000384357	0.0	0.0	0.0	0.0	0.0	0.0	7.25638e-05	0.000395548	0.0	0.0	0.000157127	0.000464337	2.21454e-05	0.00017984	0.000132447	1.74857e-05	0.000314046	0.0	3.53483e-05	0.000115796	0.00149083	0.00141661	0.0	0.00123216	0.000799287	0.000565395	0.000214233	0.00026718	0.0	5.17398e-05	7.89274e-06	0.000193226	3.33387e-05	0.000116884	0.0	0.00051764	1.02889e-05	2.37493e-05	0.000140367	8.15756e-06	0.00024862	0.000489996	4.3792e-05	0.0	0.00114809	0.0	0.000225857	0.000530731	9.05865e-06	0.0	2.992e-05
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0.000208646	0.000976415	3.9002e-05	0.000468563	0.000343683	0.000961683	0.000481757	0.000693267	0.00023073	0.000348973	0.00213808	0.000791882	0.000882974	0.00350141	0.00107937	0.000310828	0.0	0.000454513	0.0024037	7.59335e-05	0.000176327	5.04228e-05	0.0	0.000307592	0.00124628	0.000703647	0.000126396	0.00287919	0.00218962	0.000654023	0.000322395	0.0	0.000313685	0.000623883	0.00116487	0.00356231	0.000519293	0.0	0.00273382	0.00136901	0.000278824	0.000301424	0.00119359	0.00206484	0.00245879	0.000671167	0.000762088	0.0	0.000662981	0.000112404	0.00252162	0.000807991	0.00141596	0.0	2.46582e-05	0.000251816	0.00101066	0.00141153	6.92167e-05	0.000783047	0.00247168	0.00258437	0.00242553	0.00147511	4.23212e-05	0.000182873	0.0	0.0	0.000810232	6.45699e-05	0.000796403	0.000864521	0.0	5.84341e-05	0.000925523	0.000535834	0.000164458	0.0	9.04551e-05	0.00136295	5.09095e-05	0.0	0.0	4.32778e-05	0.000264545	9.92114e-05	0.0	0.000387185	6.50614e-05	6.48357e-05	0.0	0.0	0.00219711	0.000974702	0.0	0.000227121	0.0	0.0	8.2252e-05	0.000120578	0.000158571	0.000217562	9.66868e-05	0.000244133	8.61505e-05	0.000579434	8.35289e-05	0.000408727	0.000416109	0.00161691	0.0	0.000130371	0.0	2.80003e-05	0.000544494	0.000473824	0.00152984	0.000465144	0.000110752	0.00089772	0.0	0.00053508	0.0	4.79764e-05	0.000975055	0.000125046	0.00123393	0.000156804	6.00608e-05	0.00171341	0.000144973	0.00018047	0.0	0.000241794	0.000116235	0.0	0.000440346	0.00176043	0.000151154	4.86154e-05	0.000447243	0.00277668	0.0011305	0.00111195	0.000167403	7.57845e-05	0.00111701	0.000220934	0.000174521	0.000596624	0.00227422	0.00280427	0.0	0.00199638	0.00214587	0.00186005	0.000715109	0.000388335	0.0	0.000622718	0.000318445	0.000777572	0.000216368	0.00166175	0.0	0.000890154	0.000207332	0.000717654	0.0006023	0.000146012	0.00139558	0.00158295	0.00028496	0.00081643	0.00278623	0.000143501	0.000676226	0.00312486	0.00013321	7.9241e-05	0.000361057
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0.000658013	0.00198013	0.000132131	0.00132697	0.000639612	0.00205777	0.00132086	0.0	0.000704089	0.00103309	0.00302117	0.00192338	0.00106017	0.00182138	0.0022291	0.000936712	0.0	0.00128702	0.00316126	0.000252442	0.00056613	0.000169821	0.0	0.000936842	0.00244786	0.00163605	0.000416814	0.00262823	0.00286912	0.00178788	0.001025	0.0	0.000959929	0.00173659	0.00243831	0.00359528	0.00142587	0.0	0.00379363	0.00291718	0.000767951	0.000961017	0.00271464	0.00300451	0.00285898	0.00184862	0.00151789	0.0	0.00180088	0.000370205	0.00271322	0.00148847	0.00265895	0.0	8.34163e-05	0.000811398	0.00228867	0.00140876	0.000231164	0.00189591	0.00460398	0.00345373	0.000680876	0.00265124	0.000141758	0.000596101	0.0	0.0	0.00197985	0.000217612	0.00213901	0.00216656	0.0	0.000196125	0.0020414	0.00134662	0.000531048	0.0	0.000295933	0.00255485	0.000170522	0.0	0.0	0.000146013	0.000824837	0.0003077	0.0	0.00105522	0.000214558	0.00021716	0.0	0.0	0.00325293	0.00223116	0.0	0.000740821	0.0	0.0	0.000268258	0.000396179	0.000455943	0.000666637	0.0003056	0.000768542	0.000283775	0.00167841	0.000271881	0.00122021	0.00110269	0.00295646	0.0	0.00042295	0.0	9.44304e-05	0.000855215	0.00130297	0.00267901	0.00131766	0.0	0.00187883	0.0	0.00145508	0.0	0.000162139	0.00237467	0.000405416	0.00251224	0.000515009	0.000203155	0.00317999	0.000472333	0.000571913	0.0	0.000778416	0.000368177	0.0	0.00126701	0.00283831	0.000490704	0.00015994	0.00132117	0.00337009	0.00239011	0.00290807	0.000517644	0.000255435	0.00254996	0.000705395	0.000547162	0.000906668	0.00321488	0.00322633	0.0	0.0029739	0.00326549	0.00230086	0.000925076	0.00103659	0.0	0.00173505	0.000960945	0.0019061	0.000621419	0.00123341	0.0	0.00209835	0.000633063	0.00183895	0.0014961	0.000473959	0.00258601	0.00326361	0.00086108	0.00214932	0.00305208	0.000464095	0.00173374	0.00157322	0.000280245	0.000262812	0.001112
PWY-5840: superpathway of menaquinol-7 biosynthesis	0.000560943	0.00198013	0.000121703	0.000976174	0.000793736	0.00187098	0.000735519	9.07989e-05	0.000690465	0.000586758	0.00240834	0.00166355	0.0012095	0.00199378	0.00184014	0.000818723	0.0	0.00105694	0.00310644	0.000236113	0.000551642	0.000161127	0.0	0.000851258	0.00197723	0.00123132	0.000338535	0.00265812	0.00251121	0.00137126	0.00079874	0.0	0.000857409	0.0013205	0.00152598	0.00251526	0.0011162	0.0	0.00363394	0.00271799	0.000791343	0.000819913	0.00220906	0.00263817	0.00285898	0.000876596	0.00123113	0.0	0.00147167	0.000301022	0.00279226	0.00104702	0.00236331	0.0	8.35014e-05	0.000521857	0.00203836	0.00156144	0.000218285	0.00211988	0.00147245	0.00276399	0.00421193	0.00204027	0.000139459	0.000393145	0.0	0.0	0.00151296	0.000195332	0.00171188	0.00161683	0.0	0.000174551	0.00178552	0.00115794	0.000346436	0.0	0.000268883	0.00225099	0.000164746	0.0	0.0	0.000140741	0.000792986	0.000274684	0.0	0.000644225	0.000198536	0.000208881	0.0	0.0	0.00307239	0.00155184	0.0	0.000481514	0.0	0.0	0.000243979	0.000323513	0.0	0.000443422	0.000298654	0.00069553	0.000281425	0.0012371	0.000268659	0.000996877	0.00106939	0.00272735	0.0	0.000334619	0.0	8.6221e-05	0.00104628	0.00127269	0.00234885	0.00109145	0.000337588	0.00164316	0.0	0.00071949	0.0	0.000152183	0.00180138	0.000110344	0.00184049	0.000489798	0.000155541	0.00260471	0.000459129	0.000538983	0.0	0.0	0.000141309	0.0	0.000809615	0.0023549	0.000464271	0.000148917	0.00114228	0.00328005	0.00214902	0.00255854	0.000510533	0.000252695	0.00202877	0.000231484	0.000516152	0.00102222	0.00300267	0.00308452	0.0	0.00258044	0.00316441	0.00238544	0.00100969	0.000605683	0.0	0.00123388	0.000906193	0.00125104	0.000573046	0.00131791	0.0	0.00161772	0.000571039	0.00091886	0.00154833	0.000258733	0.00234499	0.00270556	0.000692553	0.000445243	0.00232671	0.000250886	0.00147942	0.00164076	0.000406249	0.00024819	0.000944075
