Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22133945,WGS,276,5989843205,PRJNA896336,SAMN31542381,Metagenome or environmental,1915569806,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18113477,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 30 E,RA_06,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,RA_06,SRP405731
SRR22133946,WGS,278,4861135380,PRJNA896336,SAMN31542380,Metagenome or environmental,1561538558,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18113476,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 29 E,RA_05,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:05:00Z,1,RA_05,SRP405731
SRR22133947,WGS,276,6156723620,PRJNA896336,SAMN31542379,Metagenome or environmental,1960793601,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18113475,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 28 E,RA_04,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,RA_04,SRP405731
SRR22133948,WGS,283,5444369720,PRJNA896336,SAMN31542378,Metagenome or environmental,1758705751,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18113474,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 27 E,RA_03,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:09:00Z,1,RA_03,SRP405731
SRR22133949,WGS,276,6334306596,PRJNA896336,SAMN31542377,Metagenome or environmental,2023827383,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113473,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 26 E,RA_02,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:10:00Z,1,RA_02,SRP405731
SRR22133950,WGS,274,6382477484,PRJNA896336,SAMN31542376,Metagenome or environmental,2019475145,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX18113472,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 25 E,RA_01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,RA_01,SRP405731
SRR22133951,WGS,287,5816887227,PRJNA896336,SAMN31542375,Metagenome or environmental,1889954522,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX18113471,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 24 E,Normal_22,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:06:00Z,1,Normal_22,SRP405731
SRR22133952,WGS,277,5327756649,PRJNA896336,SAMN31542374,Metagenome or environmental,1734686756,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18113470,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 23 E,Normal_21,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:11:00Z,1,Normal_21,SRP405731
SRR22133953,WGS,279,4845305432,PRJNA896336,SAMN31542356,Metagenome or environmental,1536033531,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX18113469,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 5 E,Normal_03,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,Normal_03,SRP405731
SRR22133954,WGS,276,5142104344,PRJNA896336,SAMN31542373,Metagenome or environmental,1669497401,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113468,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 22 E,Normal_20,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:06:00Z,1,Normal_20,SRP405731
