Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13279754,WGS,300,3609396000,PRJNA686835,SAMN17126254,Metagenome or environmental,1417626526,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709362,NO_232,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_232,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:23:00Z,1,NO_232,SRP298654
SRR13279755,WGS,300,5924363700,PRJNA686835,SAMN17126255,Metagenome or environmental,2118195592,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9709361,NO_23,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_23,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:29:00Z,1,NO_23,SRP298654
SRR13279756,WGS,300,5046381900,PRJNA686835,SAMN17126176,Metagenome or environmental,2069102684,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709360,NL_143,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NL_143,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:24:00Z,1,NL_143,SRP298654
SRR13279757,WGS,300,4073501700,PRJNA686835,SAMN17126257,Metagenome or environmental,1568672609,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709359,NO_32,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_32,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:21:00Z,1,NO_32,SRP298654
SRR13279758,WGS,300,5150183100,PRJNA686835,SAMN17126258,Metagenome or environmental,1952396121,HANS KNOLL INSTITUTE,2016-04,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9709358,NO_33,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_33,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:23:00Z,1,NO_33,SRP298654
SRR13279759,WGS,300,5766856500,PRJNA686835,SAMN17126259,Metagenome or environmental,2241949144,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709357,NO_35,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_35,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:25:00Z,1,NO_35,SRP298654
SRR13279760,WGS,300,5832339300,PRJNA686835,SAMN17126260,Metagenome or environmental,2269977469,HANS KNOLL INSTITUTE,2016-04,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709356,NO_46,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_46,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:28:00Z,1,NO_46,SRP298654
SRR13279761,WGS,300,4234275900,PRJNA686835,SAMN17126263,Metagenome or environmental,1603637570,HANS KNOLL INSTITUTE,2016-04,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9709355,NO_68,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_68,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:26:00Z,1,NO_68,SRP298654
SRR13279762,WGS,300,5042358300,PRJNA686835,SAMN17126264,Metagenome or environmental,1942037286,HANS KNOLL INSTITUTE,2016-04,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709354,NO_71,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_71,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:36:00Z,1,NO_71,SRP298654
SRR13279763,WGS,300,4502985300,PRJNA686835,SAMN17126265,Metagenome or environmental,1754203104,HANS KNOLL INSTITUTE,2016-04,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709353,NO_75,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_75,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:36:00Z,1,NO_75,SRP298654
