Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22135618,WGS,300,5719926600,PRJNA893406,SAMN31421963,Metagenome or environmental,1821016105,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-04,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18115280,China,Asia,China: Changsha,Homo_sapiens29,Illumina NovaSeq 6000,feces29,28.19 N 112.99 E,H29,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:11:00Z,1,H29,SRP405751
SRR22135619,WGS,300,5582526300,PRJNA893406,SAMN31421962,Metagenome or environmental,1834133208,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-04,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18115279,China,Asia,China: Changsha,Homo_sapiens28,Illumina NovaSeq 6000,feces28,28.19 N 112.99 E,H28,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:12:00Z,1,H28,SRP405751
SRR22135620,WGS,300,6208548300,PRJNA893406,SAMN31421961,Metagenome or environmental,1999407816,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-10-10,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18115278,China,Asia,China: Changsha,Homo_sapiens27,Illumina NovaSeq 6000,feces27,28.19 N 112.99 E,H27,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:13:00Z,1,H27,SRP405751
SRR22135621,WGS,300,6471052200,PRJNA893406,SAMN31421960,Metagenome or environmental,2117625949,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-10-10,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18115277,China,Asia,China: Changsha,Homo_sapiens26,Illumina NovaSeq 6000,feces26,28.19 N 112.99 E,H26,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:15:00Z,1,H26,SRP405751
SRR22135622,WGS,300,6383319600,PRJNA893406,SAMN31421959,Metagenome or environmental,2049279826,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-10-10,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX18115276,China,Asia,China: Changsha,Homo_sapiens25,Illumina NovaSeq 6000,feces25,28.19 N 112.99 E,H25,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:08:00Z,1,H25,SRP405751
SRR22135623,WGS,300,6338654400,PRJNA893406,SAMN31421958,Metagenome or environmental,2045066422,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-10-09,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18115275,China,Asia,China: Changsha,Homo_sapiens24,Illumina NovaSeq 6000,feces24,28.19 N 112.99 E,H24,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:09:00Z,1,H24,SRP405751
SRR22135624,WGS,300,6509963100,PRJNA893406,SAMN31421957,Metagenome or environmental,2085987066,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-10-10,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX18115274,China,Asia,China: Changsha,Homo_sapiens23,Illumina NovaSeq 6000,feces23,28.19 N 112.99 E,H23,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:24:00Z,1,H23,SRP405751
SRR22135625,WGS,300,5804027700,PRJNA893406,SAMN31422152,Metagenome or environmental,2134642345,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-19,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115273,China,Asia,China: Changsha,Homo_sapiens218,Illumina NovaSeq 6000,feces218,28.19 N 112.99 E,DM154,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:09:00Z,1,DM154,SRP405751
SRR22135626,WGS,300,5828535600,PRJNA893406,SAMN31422151,Metagenome or environmental,1862363735,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-19,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115272,China,Asia,China: Changsha,Homo_sapiens217,Illumina NovaSeq 6000,feces217,28.19 N 112.99 E,DM153,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:17:00Z,1,DM153,SRP405751
SRR22135627,WGS,300,5289350100,PRJNA893406,SAMN31422150,Metagenome or environmental,1773120100,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-10-15,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX18115271,China,Asia,China: Changsha,Homo_sapiens216,Illumina NovaSeq 6000,feces216,28.19 N 112.99 E,DM152,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:16:00Z,1,DM152,SRP405751
