Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,ID,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR7124839,WGS,300,10185758100,PRJNA449784,SAMN08918286,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3910683609,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-10,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX4045719,China,Asia,China: Beijing,Homo sapiens,KD-177,HiSeq X Ten,39.9 N 116.25 E,KD-177,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:02:00Z,1,KD-177,SRP144673
SRR7124840,WGS,300,11930148900,PRJNA449784,SAMN08918285,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4672948144,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045718,China,Asia,China: Beijing,Homo sapiens,KD-176,HiSeq X Ten,39.9 N 116.25 E,KD-176,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:11:00Z,1,KD-176,SRP144673
SRR7124841,WGS,300,12201644100,PRJNA449784,SAMN08918085,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4523598546,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-01-13,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045717,China,Asia,China: Beijing,Homo sapiens,CON-045,HiSeq X Ten,39.9 N 116.23 E,CON-045,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:03:00Z,1,CON-045,SRP144673
SRR7124842,WGS,300,9898767000,PRJNA449784,SAMN08918113,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3838065409,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045716,China,Asia,China: Beijing,Homo sapiens,KD-004,HiSeq X Ten,39.97 N 116.38 E,KD-004,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:05:00Z,1,KD-004,SRP144673
SRR7124843,WGS,300,7801356300,PRJNA449784,SAMN08918112,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3040726843,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045715,China,Asia,China: Beijing,Homo sapiens,KD-003,HiSeq X Ten,39.97 N 116.38 E,KD-003,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:02:00Z,1,KD-003,SRP144673
SRR7124844,WGS,300,11823533700,PRJNA449784,SAMN08918111,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4463881087,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045714,China,Asia,China: Beijing,Homo sapiens,KD-002,HiSeq X Ten,39.97 N 116.38 E,KD-002,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:17:00Z,1,KD-002,SRP144673
SRR7124845,WGS,300,10638097500,PRJNA449784,SAMN08918100,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4070331849,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-01-20,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045713,China,Asia,China: Beijing,Homo sapiens,CON-060,HiSeq X Ten,39.9 N 116.23 E,CON-060,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:22:00Z,1,CON-060,SRP144673
SRR7124846,WGS,300,9352161900,PRJNA449784,SAMN08918117,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3665525644,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045712,China,Asia,China: Beijing,Homo sapiens,KD-008,HiSeq X Ten,39.97 N 116.38 E,KD-008,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:03:00Z,1,KD-008,SRP144673
SRR7124847,WGS,300,8968992000,PRJNA449784,SAMN08918116,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3423919601,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-25,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045711,China,Asia,China: Beijing,Homo sapiens,KD-007,HiSeq X Ten,39.97 N 116.38 E,KD-007,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:06:00Z,1,KD-007,SRP144673
SRR7124848,WGS,300,7977531900,PRJNA449784,SAMN08918115,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3192134232,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045710,China,Asia,China: Beijing,Homo sapiens,KD-006,HiSeq X Ten,39.97 N 116.38 E,KD-006,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:03:00Z,1,KD-006,SRP144673
SRR7124849,WGS,300,13751940300,PRJNA449784,SAMN08918099,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5189422507,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-01,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045709,China,Asia,China: Beijing,Homo sapiens,CON-059,HiSeq X Ten,39.9 N 116.23 E,CON-059,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:14:00Z,1,CON-059,SRP144673
SRR7124850,WGS,300,8554671000,PRJNA449784,SAMN08918119,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3332645547,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045708,China,Asia,China: Beijing,Homo sapiens,KD-010,HiSeq X Ten,39.97 N 116.38 E,KD-010,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:06:00Z,1,KD-010,SRP144673
SRR7124851,WGS,300,11371944300,PRJNA449784,SAMN08918198,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4286444329,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-08,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045707,China,Asia,China: Beijing,Homo sapiens,KD-089,HiSeq X Ten,39.9 N 116.23 E,KD-089,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:10:00Z,1,KD-089,SRP144673
SRR7124852,WGS,300,9638629200,PRJNA449784,SAMN08918197,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3651286132,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-08,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045706,China,Asia,China: Beijing,Homo sapiens,KD-088,HiSeq X Ten,39.9 N 116.23 E,KD-088,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:17:00Z,1,KD-088,SRP144673
SRR7124853,WGS,300,10259910000,PRJNA449784,SAMN08918196,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4204434374,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-07,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045705,China,Asia,China: Beijing,Homo sapiens,KD-087,HiSeq X Ten,39.9 N 116.23 E,KD-087,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:08:00Z,1,KD-087,SRP144673
SRR7124854,WGS,300,11468041500,PRJNA449784,SAMN08918195,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4484739311,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-07,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045704,China,Asia,China: Beijing,Homo sapiens,KD-086,HiSeq X Ten,39.9 N 116.23 E,KD-086,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:14:00Z,1,KD-086,SRP144673
SRR7124855,WGS,300,11380740300,PRJNA449784,SAMN08918194,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4644024052,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-08,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045703,China,Asia,China: Beijing,Homo sapiens,KD-085,HiSeq X Ten,39.9 N 116.23 E,KD-085,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:15:00Z,1,KD-085,SRP144673
SRR7124856,WGS,300,10564730700,PRJNA449784,SAMN08918193,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4234871605,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-08,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045702,China,Asia,China: Beijing,Homo sapiens,KD-084,HiSeq X Ten,39.9 N 116.23 E,KD-084,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:12:00Z,1,KD-084,SRP144673
SRR7124857,WGS,300,12067073100,PRJNA449784,SAMN08918192,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4458559622,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-07,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045701,China,Asia,China: Beijing,Homo sapiens,KD-083,HiSeq X Ten,39.9 N 116.23 E,KD-083,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:14:00Z,1,KD-083,SRP144673
SRR7124858,WGS,300,9113201700,PRJNA449784,SAMN08918191,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3555180993,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-07,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045700,China,Asia,China: Beijing,Homo sapiens,KD-082,HiSeq X Ten,39.9 N 116.23 E,KD-082,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:14:00Z,1,KD-082,SRP144673
