Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,Instrument,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,ENA_first_public,ENA_last_update,external_id,INSDC_first_public,INSDC_last_update,INSDC_status
ERR11868931,WGS,300,2052417600,PRJEB65297,SAMEA114293140,feces,639310957,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-08-21,2023-08-21,feces,ERX11266433,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:08:00Z,1,SAMEA114293140,CKD010,human gut metagenome,ERP150421,CKD010,,,,,,
ERR11868977,WGS,300,3072169500,PRJEB65297,SAMEA114293141,feces,965503365,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-08-21,2023-08-21,feces,ERX11266479,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:50:00Z,1,SAMEA114293141,CKD011,human gut metagenome,ERP150421,CKD011,,,,,,
ERR11868980,WGS,300,2032020000,PRJEB65297,SAMEA114293142,feces,656030192,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-21,2023-08-21,feces,ERX11266482,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:49:00Z,1,SAMEA114293142,CKD012,human gut metagenome,ERP150421,CKD012,,,,,,
ERR11868983,WGS,300,3031155000,PRJEB65297,SAMEA114293143,feces,952702980,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-08-21,2023-08-21,feces,ERX11266485,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:51:00Z,1,SAMEA114293143,CKD013,human gut metagenome,ERP150421,CKD013,,,,,,
ERR11868986,WGS,300,2087026500,PRJEB65297,SAMEA114293144,feces,665046765,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2023-08-21,2023-08-21,feces,ERX11266488,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:50:00Z,1,SAMEA114293144,CKD014,human gut metagenome,ERP150421,CKD014,,,,,,
ERR11868987,WGS,300,3075947400,PRJEB65297,SAMEA114293145,feces,970194576,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2023-08-21,2023-08-21,feces,ERX11266489,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:51:00Z,1,SAMEA114293145,CKD015,human gut metagenome,ERP150421,CKD015,,,,,,
ERR11868990,WGS,300,2043050700,PRJEB65297,SAMEA114293146,feces,656840048,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-08-21,2023-08-21,feces,ERX11266492,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:50:00Z,1,SAMEA114293146,CKD016,human gut metagenome,ERP150421,CKD016,,,,,,
ERR11868993,WGS,300,2341853400,PRJEB65297,SAMEA114293289,feces,748390890,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2023-08-21,2023-08-21,feces,ERX11266495,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:51:00Z,1,SAMEA114293289,HD001,human gut metagenome,ERP150421,HD001,,,,,,
ERR11868994,WGS,300,2174902500,PRJEB65297,SAMEA114293290,feces,693815892,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-21,2023-08-21,feces,ERX11266496,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:49:00Z,1,SAMEA114293290,HD002,human gut metagenome,ERP150421,HD002,,,,,,
ERR11868995,WGS,300,2077944600,PRJEB65297,SAMEA114293291,feces,662040185,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-08-21,2023-08-21,feces,ERX11266497,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:50:00Z,1,SAMEA114293291,HD003,human gut metagenome,ERP150421,HD003,,,,,,
ERR11868996,WGS,300,2203908600,PRJEB65297,SAMEA114293292,feces,699969587,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2023-08-21,2023-08-21,feces,ERX11266498,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T21:51:00Z,1,SAMEA114293292,HD004,human gut metagenome,ERP150421,HD004,,,,,,
