Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,ID,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR10403556,WGS,200,9274700800,PRJNA588035,SAMN13221631,Metagenome or environmental,7064923173,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX7102850,China,Asia,China:Xiangyang,Homo sapiens,50,BGISEQ-500,stool,not applicable,CL100075519_L01_19,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:10:00Z,2,50Spouse13CL100075519_L01_19,SRP228703
SRR10403557,WGS,200,6869879000,PRJNA588035,SAMN13221630,Metagenome or environmental,5283545491,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7102849,China,Asia,China:Xiangyang,Homo sapiens,49,BGISEQ-500,stool,not applicable,CL100071244_L02_8,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:07:00Z,2,49Spouse11CL100071244_L02_8,SRP228703
SRR10403558,WGS,200,16275320600,PRJNA588035,SAMN13221629,Metagenome or environmental,12140986668,HUBEI UNIVERSITY,2017-01,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102848,China,Asia,China:Xiangyang,Homo sapiens,48,BGISEQ-500,stool,not applicable,CL100071244_L02_7,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:16:00Z,2,48Spouse10CL100071244_L02_7,SRP228703
SRR10403559,WGS,200,11315710600,PRJNA588035,SAMN13221628,Metagenome or environmental,8624050824,HUBEI UNIVERSITY,2017-01,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7102847,China,Asia,China:Xiangyang,Homo sapiens,47,BGISEQ-500,stool,not applicable,CL100071244_L02_6,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:11:00Z,2,47Spouse9CL100071244_L02_6,SRP228703
SRR10403560,WGS,200,13412929600,PRJNA588035,SAMN13221627,Metagenome or environmental,10063413612,HUBEI UNIVERSITY,2017-01,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102846,China,Asia,China:Xiangyang,Homo sapiens,46,BGISEQ-500,stool,not applicable,CL100071244_L02_5,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:11:00Z,2,46Spouse8CL100071244_L02_5,SRP228703
SRR10403561,WGS,200,12580256800,PRJNA588035,SAMN13221626,Metagenome or environmental,9445842203,HUBEI UNIVERSITY,2017-01,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7102845,China,Asia,China:Xiangyang,Homo sapiens,45,BGISEQ-500,stool,not applicable,CL100071244_L02_4,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:17:00Z,2,45Spouse7CL100071244_L02_4,SRP228703
SRR10403562,WGS,200,11091685600,PRJNA588035,SAMN13221625,Metagenome or environmental,8357344846,HUBEI UNIVERSITY,2017-01,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX7102844,China,Asia,China:Xiangyang,Homo sapiens,44,BGISEQ-500,stool,not applicable,CL100071244_L02_3,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T02:20:00Z,2,44Spouse6CL100071244_L02_3,SRP228703
SRR10403563,WGS,200,9323353000,PRJNA588035,SAMN13221624,Metagenome or environmental,7044305041,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX7102843,China,Asia,China:Xiangyang,Homo sapiens,43,BGISEQ-500,stool,not applicable,CL100071244_L02_2,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:13:00Z,2,43Spouse5CL100071244_L02_2,SRP228703
SRR10403564,WGS,200,12648847800,PRJNA588035,SAMN13221623,Metagenome or environmental,9544981168,HUBEI UNIVERSITY,2017-01,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102842,China,Asia,China:Xiangyang,Homo sapiens,42,BGISEQ-500,stool,not applicable,CL100071244_L02_1,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:13:00Z,2,42Spouse4CL100071244_L02_1,SRP228703
SRR10403565,WGS,200,12753148400,PRJNA588035,SAMN13221622,Metagenome or environmental,9712063894,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7102841,China,Asia,China:Xiangyang,Homo sapiens,41,BGISEQ-500,stool,not applicable,CL100071244_L01_23,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:10:00Z,2,41Spouse2CL100071244_L01_23,SRP228703
SRR10403566,WGS,200,15313760400,PRJNA588035,SAMN13221586,Metagenome or environmental,11067933218,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7102840,China,Asia,China:Xiangyang,Homo sapiens,5,BGISEQ-500,stool,not applicable,CL100071231_L01_70,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:23:00Z,2,5PD6CL100071231_L01_70,SRP228703
SRR10403567,WGS,200,14676746000,PRJNA588035,SAMN13221621,Metagenome or environmental,11136401342,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7102839,China,Asia,China:Xiangyang,Homo sapiens,40,BGISEQ-500,stool,not applicable,CL100071244_L01_22,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:13:00Z,2,40Spouse1CL100071244_L01_22,SRP228703
SRR10403568,WGS,200,11733754000,PRJNA588035,SAMN13221620,Metagenome or environmental,8830532967,HUBEI UNIVERSITY,2017-01,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX7102838,China,Asia,China:Xiangyang,Homo sapiens,39,BGISEQ-500,stool,not applicable,CL100071244_L01_21,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:16:00Z,2,39PD56CL100071244_L01_21,SRP228703
SRR10403569,WGS,200,16243985400,PRJNA588035,SAMN13221619,Metagenome or environmental,11809347902,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102837,China,Asia,China:Xiangyang,Homo sapiens,38,BGISEQ-500,stool,not applicable,CL100071244_L01_17,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:24:00Z,2,38PD52CL100071244_L01_17,SRP228703
SRR10403570,WGS,200,9042345800,PRJNA588035,SAMN13221618,Metagenome or environmental,6975890019,HUBEI UNIVERSITY,2017-01,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7102836,China,Asia,China:Xiangyang,Homo sapiens,37,BGISEQ-500,stool,not applicable,CL100071255_L02_8,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:13:00Z,2,37PD51CL100071255_L02_8,SRP228703
SRR10403571,WGS,200,14976729000,PRJNA588035,SAMN13221617,Metagenome or environmental,11273429662,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102835,China,Asia,China:Xiangyang,Homo sapiens,36,BGISEQ-500,stool,not applicable,CL100071255_L02_7,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T02:20:00Z,2,36PD49CL100071255_L02_7,SRP228703
SRR10403572,WGS,200,12212340200,PRJNA588035,SAMN13221616,Metagenome or environmental,9232056038,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102834,China,Asia,China:Xiangyang,Homo sapiens,35,BGISEQ-500,stool,not applicable,CL100071255_L02_6,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:18:00Z,2,35PD48CL100071255_L02_6,SRP228703
