Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),environmental_medium,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR10819075,WGS,297,6001945923,PRJEB59350,SAMEA112439721,human feces,2376220311,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264596,SAMEA112439721,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T10:13:00Z,1,SAMEA112439721,C152IIP,gut metagenome,ERP144399,C152IIP
ERR10819087,WGS,297,4608370869,PRJEB59350,SAMEA112439722,human feces,1834738754,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264608,SAMEA112439722,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:52:00Z,1,SAMEA112439722,C15,gut metagenome,ERP144399,C15
ERR10819109,WGS,297,10142605019,PRJEB59350,SAMEA112439723,human feces,3618880554,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264630,SAMEA112439723,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:01:00Z,1,SAMEA112439723,C18,gut metagenome,ERP144399,C18
ERR10819113,WGS,298,7005180717,PRJEB59350,SAMEA112439724,human feces,2761880215,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264634,SAMEA112439724,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:00:00Z,1,SAMEA112439724,C19,gut metagenome,ERP144399,C19
ERR10819455,WGS,298,13979182320,PRJEB59350,SAMEA112439725,human feces,5041732873,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264947,SAMEA112439725,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T10:24:00Z,1,SAMEA112439725,C1,gut metagenome,ERP144399,C1
ERR10820466,WGS,297,13290147240,PRJEB59350,SAMEA112439726,human feces,5079576951,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10265958,SAMEA112439726,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:03:00Z,1,SAMEA112439726,C20,gut metagenome,ERP144399,C20
ERR10820583,WGS,297,17523338946,PRJEB59350,SAMEA112439727,human feces,6176952695,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266075,SAMEA112439727,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:12:00Z,1,SAMEA112439727,C21,gut metagenome,ERP144399,C21
ERR10820585,WGS,297,6798216804,PRJEB59350,SAMEA112439728,human feces,2694180850,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266077,SAMEA112439728,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:58:00Z,1,SAMEA112439728,C23,gut metagenome,ERP144399,C23
ERR10820590,WGS,297,6650591111,PRJEB59350,SAMEA112439729,human feces,2351813174,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266082,SAMEA112439729,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T10:14:00Z,1,SAMEA112439729,C24,gut metagenome,ERP144399,C24
ERR10820685,WGS,298,8521924693,PRJEB59350,SAMEA112439730,human feces,3018561041,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266177,SAMEA112439730,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:54:00Z,1,SAMEA112439730,C26,gut metagenome,ERP144399,C26
ERR10820698,WGS,298,10784829932,PRJEB59350,SAMEA112439731,human feces,3860932839,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266190,SAMEA112439731,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:00:00Z,1,SAMEA112439731,C28,gut metagenome,ERP144399,C28
ERR10820700,WGS,301,5146765124,PRJEB59350,SAMEA112439732,human feces,2280825319,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266192,SAMEA112439732,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:50:00Z,1,SAMEA112439732,C30,gut metagenome,ERP144399,C30
ERR10820976,WGS,298,13705545769,PRJEB59350,SAMEA112439733,human feces,4828597034,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266576,SAMEA112439733,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:04:00Z,1,SAMEA112439733,C32,gut metagenome,ERP144399,C32
ERR10820977,WGS,297,10558804797,PRJEB59350,SAMEA112439734,human feces,4129551654,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266577,SAMEA112439734,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:51:00Z,1,SAMEA112439734,C33,gut metagenome,ERP144399,C33
ERR10820978,WGS,297,11464753215,PRJEB59350,SAMEA112439735,human feces,4107632284,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10266578,SAMEA112439735,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T10:20:00Z,1,SAMEA112439735,C34old,gut metagenome,ERP144399,C34old
