Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR13336845,WGS,299,9977157682,PRJNA688881,SAMN17190414,Metagenome or environmental,3962073392,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9763641,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB074PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:56:00Z,1,MGHB074PB,MGHB074PB,SRP299890
SRR13336846,WGS,299,13506088044,PRJNA688881,SAMN17190416,Metagenome or environmental,5414506995,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763566,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB078PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:04:00Z,1,MGHB078PB,MGHB078PB,SRP299890
SRR13336847,WGS,299,12047297198,PRJNA688881,SAMN17190434,Metagenome or environmental,4647103191,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9763585,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB119PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:56:00Z,1,MGHB119PB,MGHB119PB,SRP299890
SRR13336848,WGS,299,10133587353,PRJNA688881,SAMN17190412,Metagenome or environmental,3974145593,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763640,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB072PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:53:00Z,1,MGHB072PB,MGHB072PB,SRP299890
SRR13336849,WGS,299,9277359747,PRJNA688881,SAMN17190411,Metagenome or environmental,3676905970,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763639,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB071PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:42:00Z,1,MGHB071PB,MGHB071PB,SRP299890
SRR13336850,WGS,299,13046245919,PRJNA688881,SAMN17190410,Metagenome or environmental,5144315258,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763638,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB070PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:04:00Z,1,MGHB070PB,MGHB070PB,SRP299890
SRR13336851,WGS,299,13289838959,PRJNA688881,SAMN17190408,Metagenome or environmental,5252446812,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9763636,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB063PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:37:00Z,1,MGHB063PB,MGHB063PB,SRP299890
SRR13336852,WGS,299,12723062108,PRJNA688881,SAMN17190407,Metagenome or environmental,5005910266,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9763635,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB058PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:06:00Z,1,MGHB058PB,MGHB058PB,SRP299890
SRR13336853,WGS,299,8505118762,PRJNA688881,SAMN17190406,Metagenome or environmental,3347662535,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763634,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB052PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:41:00Z,1,MGHB052PB,MGHB052PB,SRP299890
SRR13336854,WGS,299,12575087893,PRJNA688881,SAMN17190409,Metagenome or environmental,4916292445,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763637,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB067PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:57:00Z,1,MGHB067PB,MGHB067PB,SRP299890
