Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,Scientific_Name,SRA Study,tissue_type
ERR13717690,WGS,300,5386693800,PRJEB80379,SAMEA116093483,3777457169,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2024-09-27,2024-09-27,ERX13088149,Latvia,Europe,Latvia,DNBSEQ-G400,FS11,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:54:00Z,1,FS11,human gut metagenome,ERP164393,Faecal
ERR13717691,WGS,300,3263782500,PRJEB80379,SAMEA116093484,2298186774,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2024-09-27,2024-09-27,ERX13088150,Latvia,Europe,Latvia,DNBSEQ-G400,FS12,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:55:00Z,1,FS12,human gut metagenome,ERP164393,Faecal
ERR13717692,WGS,300,4287827100,PRJEB80379,SAMEA116093485,2880624639,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-09-27,2024-09-27,ERX13088151,Latvia,Europe,Latvia,DNBSEQ-G400,FS13,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:51:00Z,1,FS13,human gut metagenome,ERP164393,Faecal
ERR13717693,WGS,300,3957428100,PRJEB80379,SAMEA116093486,2722758809,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-09-27,2024-09-27,ERX13088152,Latvia,Europe,Latvia,DNBSEQ-G400,FS14,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:00:00Z,1,FS14,human gut metagenome,ERP164393,Faecal
ERR13717694,WGS,300,3962136000,PRJEB80379,SAMEA116093487,2715959194,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2024-09-27,2024-09-27,ERX13088153,Latvia,Europe,Latvia,DNBSEQ-G400,FS15,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:58:00Z,1,FS15,human gut metagenome,ERP164393,Faecal
ERR13717695,WGS,300,3947679300,PRJEB80379,SAMEA116093488,2739609191,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2024-09-27,2024-09-27,ERX13088154,Latvia,Europe,Latvia,DNBSEQ-G400,FS16,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:03:00Z,1,FS16,human gut metagenome,ERP164393,Faecal
ERR13717696,WGS,300,4116185700,PRJEB80379,SAMEA116093489,2920155964,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2024-09-27,2024-09-27,ERX13088155,Latvia,Europe,Latvia,DNBSEQ-G400,FS17,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:02:00Z,1,FS17,human gut metagenome,ERP164393,Faecal
ERR13717697,WGS,200,4953712000,PRJEB80379,SAMEA116093490,3246662342,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-09-27,2024-09-27,ERX13088156,Latvia,Europe,Latvia,DNBSEQ-G400,C1,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:52:00Z,1,C1,human gut metagenome,ERP164393,Faecal
ERR13717698,WGS,200,4750553200,PRJEB80379,SAMEA116093491,3188510053,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-09-27,2024-09-27,ERX13088157,Latvia,Europe,Latvia,DNBSEQ-G400,C2,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:02:00Z,1,C2,human gut metagenome,ERP164393,Faecal
ERR13717699,WGS,200,5625771400,PRJEB80379,SAMEA116093492,3695753867,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2024-09-27,2024-09-27,ERX13088158,Latvia,Europe,Latvia,DNBSEQ-G400,C3,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:58:00Z,1,C3,human gut metagenome,ERP164393,Faecal
ERR13717700,WGS,200,4690686400,PRJEB80379,SAMEA116093493,3161078098,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2024-09-27,2024-09-27,ERX13088159,Latvia,Europe,Latvia,DNBSEQ-G400,C4,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:54:00Z,1,C4,human gut metagenome,ERP164393,Faecal
ERR13717701,WGS,200,4431026000,PRJEB80379,SAMEA116093494,2932556579,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2024-09-27,2024-09-27,ERX13088160,Latvia,Europe,Latvia,DNBSEQ-G400,C5,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:53:00Z,1,C5,human gut metagenome,ERP164393,Faecal
ERR13717702,WGS,200,5918357800,PRJEB80379,SAMEA116093495,3917425793,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-09-27,2024-09-27,ERX13088161,Latvia,Europe,Latvia,DNBSEQ-G400,C6,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:02:00Z,1,C6,human gut metagenome,ERP164393,Faecal
ERR13717703,WGS,200,5356101000,PRJEB80379,SAMEA116093496,3557385433,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-09-27,2024-09-27,ERX13088162,Latvia,Europe,Latvia,DNBSEQ-G400,C7,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:57:00Z,1,C7,human gut metagenome,ERP164393,Faecal
ERR13717704,WGS,200,5068593400,PRJEB80379,SAMEA116093497,3386995298,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-09-27,2024-09-27,ERX13088163,Latvia,Europe,Latvia,DNBSEQ-G400,C8,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:59:00Z,1,C8,human gut metagenome,ERP164393,Faecal
ERR13717705,WGS,200,3944035200,PRJEB80379,SAMEA116093498,2614369469,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-09-27,2024-09-27,ERX13088164,Latvia,Europe,Latvia,DNBSEQ-G400,C9,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:02:00Z,1,C9,human gut metagenome,ERP164393,Faecal
ERR13717706,WGS,200,4837451000,PRJEB80379,SAMEA116093499,3326562842,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2024-09-27,2024-09-27,ERX13088165,Latvia,Europe,Latvia,DNBSEQ-G400,C10,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:03:00Z,1,C10,human gut metagenome,ERP164393,Faecal
ERR13717707,WGS,200,4939747600,PRJEB80379,SAMEA116093500,3221317065,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2024-09-27,2024-09-27,ERX13088166,Latvia,Europe,Latvia,DNBSEQ-G400,C11,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:00:00Z,1,C11,human gut metagenome,ERP164393,Faecal
ERR13717708,WGS,200,4789335000,PRJEB80379,SAMEA116093501,3177739515,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-09-27,2024-09-27,ERX13088167,Latvia,Europe,Latvia,DNBSEQ-G400,C12,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:55:00Z,1,C12,human gut metagenome,ERP164393,Faecal
